split,budget,policy,mean_r,downstream,cost,frac_ge_0.7
0,40,uniform,0.4156533474127426,0.24121883717444637,9760.0,0.2827868852459016
0,40,probe(dev-fitted),0.4064560835416711,0.23724817432143236,9760.0,0.2827868852459016
0,40,oracle_frac_ge_0.7,0.40510910986226095,0.23690848103085482,9760.0,0.3442622950819672
0,40,oracle_downstream,0.40492964801750697,0.2479778992101415,9760.0,0.25
0,40,random,0.40260011911321597,0.23748078138589346,9760.0,0.2459016393442623
0,55,uniform,0.44371212654714626,0.2440335311072591,13420.0,0.29918032786885246
0,55,probe(dev-fitted),0.4340717521153551,0.23943673627219017,13420.0,0.3114754098360656
0,55,oracle_frac_ge_0.7,0.42599052507249013,0.24105559205984448,13420.0,0.3442622950819672
0,55,oracle_downstream,0.42858844258265233,0.25284664274258717,13420.0,0.29098360655737704
0,55,random,0.4211076716210151,0.24052372530457156,13420.0,0.26229508196721313
0,70,uniform,0.46229009681713357,0.24659032374346612,17080.0,0.3237704918032787
0,70,probe(dev-fitted),0.45983458457363874,0.2445343445061704,17080.0,0.3319672131147541
0,70,oracle_frac_ge_0.7,0.446985770883344,0.24327504294478033,17080.0,0.3442622950819672
0,70,oracle_downstream,0.44824231542135423,0.2541089056945649,17080.0,0.3073770491803279
0,70,random,0.44391945151079704,0.24384646700376258,17080.0,0.29508196721311475
0,90,uniform,0.4806424402030658,0.24851405164397478,21960.0,0.3360655737704918
0,90,probe(dev-fitted),0.48031177715022405,0.24792674027336412,21960.0,0.3442622950819672
0,90,oracle_frac_ge_0.7,0.4737321117942481,0.24572861676145746,21960.0,0.3442622950819672
0,90,oracle_downstream,0.47351737640851527,0.2534666360943414,21960.0,0.3237704918032787
0,90,random,0.4749479850560434,0.2477735475673849,21960.0,0.3237704918032787
1,40,uniform,0.4352811242951859,0.23771234280899406,9760.0,0.29918032786885246
1,40,probe(dev-fitted),0.4236406626279531,0.23508698868043307,9760.0,0.29918032786885246
1,40,oracle_frac_ge_0.7,0.4239420024594617,0.23387228172826893,9760.0,0.38114754098360654
1,40,oracle_downstream,0.418385335342762,0.2442985098674546,9760.0,0.2827868852459016
1,40,random,0.41302147950642154,0.23494257295747822,9760.0,0.26639344262295084
1,55,uniform,0.46157029679462075,0.24279749804987844,13420.0,0.3442622950819672
1,55,probe(dev-fitted),0.4492644218768024,0.23947873528317964,13420.0,0.3524590163934426
1,55,oracle_frac_ge_0.7,0.44003518272432707,0.2395580776761143,13420.0,0.38114754098360654
1,55,oracle_downstream,0.4419295297884077,0.25011822045445975,13420.0,0.3114754098360656
1,55,random,0.4358070098485351,0.23900022898855944,13420.0,0.29508196721311475
1,70,uniform,0.4772333164621129,0.2457744896296863,17080.0,0.36065573770491804
1,70,probe(dev-fitted),0.46711945442624053,0.24368533272035567,17080.0,0.36475409836065575
1,70,oracle_frac_ge_0.7,0.46121579335074964,0.24299030327531085,17080.0,0.38114754098360654
1,70,oracle_downstream,0.46474967269536077,0.25183316647600856,17080.0,0.3442622950819672
1,70,random,0.4596624392813327,0.24235551999362756,17080.0,0.3155737704918033
1,90,uniform,0.49353218779156793,0.24867998105545666,21960.0,0.3770491803278688
1,90,probe(dev-fitted),0.49180069451099145,0.2476880149700427,21960.0,0.38114754098360654
1,90,oracle_frac_ge_0.7,0.48760094489094985,0.24763843743044917,21960.0,0.38114754098360654
1,90,oracle_downstream,0.4888347247710879,0.25189527538487616,21960.0,0.36065573770491804
1,90,random,0.4874973331857663,0.24765460265518144,21960.0,0.36065573770491804
2,40,uniform,0.42444675254752884,0.23931166207718835,9760.0,0.26229508196721313
2,40,probe(dev-fitted),0.4064778440076568,0.2354400690521164,9760.0,0.27459016393442626
2,40,oracle_frac_ge_0.7,0.4061600005656832,0.23539366270155085,9760.0,0.3483606557377049
2,40,oracle_downstream,0.40399520828333285,0.24644930092176545,9760.0,0.2581967213114754
2,40,random,0.39875859198576513,0.23391539354539506,9760.0,0.25
2,55,uniform,0.4457811834562577,0.24195554992798785,13420.0,0.29918032786885246
2,55,probe(dev-fitted),0.4325283590740463,0.23762618291075005,13420.0,0.3155737704918033
2,55,oracle_frac_ge_0.7,0.42532712136410544,0.23796988149997703,13420.0,0.3483606557377049
2,55,oracle_downstream,0.42252779481827557,0.2507706737046085,13420.0,0.2827868852459016
2,55,random,0.42244355415936835,0.2361980562208587,13420.0,0.29098360655737704
2,70,uniform,0.4643242182159991,0.24428368367160888,17080.0,0.32786885245901637
2,70,probe(dev-fitted),0.45391561108026807,0.239564169072091,17080.0,0.32786885245901637
2,70,oracle_frac_ge_0.7,0.44670782018200966,0.24052746132281816,17080.0,0.3483606557377049
2,70,oracle_downstream,0.44344856517750114,0.25203159926877733,17080.0,0.29918032786885246
2,70,random,0.44523555080389193,0.23856526531585054,17080.0,0.3155737704918033
2,90,uniform,0.4809661587947392,0.24627991871884197,21960.0,0.3401639344262295
2,90,probe(dev-fitted),0.47896806309505396,0.24345561615912037,21960.0,0.3401639344262295
2,90,oracle_frac_ge_0.7,0.47436058585060625,0.24502615135609213,21960.0,0.3483606557377049
2,90,oracle_downstream,0.4703752670926614,0.25149136052846915,21960.0,0.3237704918032787
2,90,random,0.47126142140220256,0.24489011864845195,21960.0,0.3360655737704918
