split,label_spearman_dev,marg_mean,marg_sd,marg_frac_zero,marg_p90,frac_structural_influential,base_downstream_dev,n_cand_dev,n_cand_test,n_target_dev,n_target_test
0,0.25424596454823556,3.5514313779800854e-05,0.00013457565595010048,0.2123076923076923,0.00020926358432552528,0.7876923076923077,0.3338486618293813,325,162,163,163
1,0.3558852994494511,4.6567193669798755e-05,0.00014736936235252527,0.22153846153846157,0.00024751414503561004,0.7784615384615384,0.33442562549330423,325,162,163,163
2,0.35765798448790626,3.884601030239388e-05,0.00014756273267040648,0.2123076923076923,0.00022650591171818893,0.7876923076923077,0.315976307992164,325,162,163,163
3,0.3572370884707605,4.084417639173375e-05,0.00012546940260974393,0.1876923076923077,0.0002127527649666284,0.8123076923076923,0.3150340289144684,325,162,163,163
4,0.2987329059983521,3.918706501307289e-05,0.00014395501346139674,0.1938461538461539,0.0002180162735001101,0.8061538461538461,0.28085003193871644,325,162,163,163
5,0.33903077114689023,4.569596231547188e-05,0.00017019508753704667,0.24,0.0002718238763521175,0.76,0.33660653465508295,325,162,163,163
6,0.41256693035611913,5.186338155442757e-05,0.00014943366211408614,0.23384615384615381,0.0002698841197931513,0.7661538461538462,0.3437723479412276,325,162,163,163
7,0.27970325279045455,3.4667320657054435e-05,0.00012482741615716753,0.20615384615384613,0.00020549934664003682,0.7938461538461539,0.3075348676200941,325,162,163,163
8,0.40889383923490635,4.708484899419065e-05,0.0001418074096827684,0.2123076923076923,0.00022161599254554297,0.7876923076923077,0.324208658999899,325,162,163,163
9,0.3677709748340365,4.549139493238362e-05,0.00014291968234783202,0.24,0.00022602022382562934,0.76,0.348926905138744,325,162,163,163
