split,policy,auc_downstream,ds_b40,ds_b55,ds_b70,ds_b90
0,uniform,0.3234297462751289,0.3180681155152183,0.32249513204027636,0.32481396458222117,0.3264305086599293
0,random,0.3188230224751176,0.3125103344605279,0.3158821763129074,0.32054889438622625,0.324948531884935
0,reliability_driven,0.3204001334936498,0.3158543224849354,0.3183824993754829,0.3215948142805658,0.3247452515503332
0,downstream_driven,0.3235411794531704,0.3184762647031668,0.32268252861597535,0.3249080787322057,0.3262357680331542
0,structural_only,0.32431658096653904,0.31849920794858616,0.3230761423573143,0.3266958055687417,0.32637662558998626
0,fixed_dev_chosen(structural_in_nn),0.32431658096653904,0.31849920794858616,0.3230761423573143,0.3266958055687417,0.32637662558998626
1,uniform,0.3321315306449786,0.32773697773988014,0.33067870019641793,0.3334144904956898,0.33536151125789904
1,random,0.3278574551252632,0.32281820814722795,0.3259829779593726,0.32928866515377814,0.33194398855772445
1,reliability_driven,0.32993847148436667,0.32426205199057434,0.3271181970538397,0.3325097082667016,0.33392653338141504
1,downstream_driven,0.333070287570458,0.32976967777768657,0.33147302630541314,0.3343886794500034,0.33563445102339917
1,structural_only,0.33372642755509824,0.3284458492447808,0.3339686827421729,0.3345317111871926,0.3359142321510592
1,fixed_dev_chosen(structural_in_nn),0.33372642755509824,0.3284458492447808,0.3339686827421729,0.3345317111871926,0.3359142321510592
2,uniform,0.3359634431238669,0.32991896250336133,0.3344054145967619,0.3375435082524657,0.34006873240485563
2,random,0.33264011081584505,0.3282616067283853,0.32967148561265125,0.3336552380856333,0.33860045396410143
2,reliability_driven,0.33523318981067035,0.33139661737275244,0.3344263447423205,0.336290021726694,0.3374714308885919
2,downstream_driven,0.33877696973076454,0.3330059049324346,0.3382233971410595,0.3408169085543433,0.3403657342728067
2,structural_only,0.3391561402354749,0.3353263430136716,0.3387178076125765,0.3402999857747975,0.34068425739236025
2,fixed_dev_chosen(structural_in_nn),0.3391561402354749,0.3353263430136716,0.3387178076125765,0.3402999857747975,0.34068425739236025
3,uniform,0.3212237159242673,0.31385330041726106,0.31987998876646495,0.3228950556843672,0.32584227371105073
3,random,0.315872720290102,0.3124941745888453,0.3147581798218969,0.3143191352597096,0.32279721407153905
3,reliability_driven,0.31719263225797883,0.31070977391914234,0.3158327034806075,0.31774771953399183,0.32312326644514044
3,downstream_driven,0.32404808785311395,0.3197905379799499,0.32297326025756606,0.3255651586801778,0.326198617703947
