split,policy,auc_frac70
0,uniform,0.30709876543209874
0,random,0.2817901234567901
0,reliability_driven,0.33858024691358024
0,downstream_driven,0.30401234567901236
0,structural_only,0.307716049382716
0,fixed_dev_chosen(structural_in_nn),0.307716049382716
1,uniform,0.3351851851851852
1,random,0.29753086419753083
1,reliability_driven,0.3425925925925926
1,downstream_driven,0.32067901234567897
1,structural_only,0.3126543209876543
1,fixed_dev_chosen(structural_in_nn),0.3126543209876543
2,uniform,0.317283950617284
2,random,0.28117283950617283
2,reliability_driven,0.3271604938271605
2,downstream_driven,0.325
2,structural_only,0.31759259259259254
2,fixed_dev_chosen(structural_in_nn),0.31759259259259254
3,uniform,0.2938271604938272
3,random,0.27685185185185185
3,reliability_driven,0.312037037037037
3,downstream_driven,0.30833333333333335
3,structural_only,0.30740740740740746
3,fixed_dev_chosen(structural_in_nn),0.30740740740740746
4,uniform,0.3234567901234568
4,random,0.3074074074074074
4,reliability_driven,0.34104938271604934
4,downstream_driven,0.3009259259259259
4,structural_only,0.2978395061728395
4,fixed_dev_chosen(structural_in_nn),0.2978395061728395
5,uniform,0.3459876543209876
5,random,0.3098765432098765
5,reliability_driven,0.3527777777777778
5,downstream_driven,0.30833333333333335
5,structural_only,0.3194444444444445
5,fixed_dev_chosen(structural_in_nn),0.3194444444444445
6,uniform,0.34845679012345676
6,random,0.3148148148148148
6,reliability_driven,0.3654320987654321
6,downstream_driven,0.34413580246913583
6,structural_only,0.3401234567901234
6,fixed_dev_chosen(structural_in_nn),0.3401234567901234
7,uniform,0.3092592592592593
7,random,0.2725308641975308
7,reliability_driven,0.3148148148148148
7,downstream_driven,0.3012345679012346
7,structural_only,0.2966049382716049
7,fixed_dev_chosen(structural_in_nn),0.2966049382716049
8,uniform,0.24012345679012345
8,random,0.23209876543209876
8,reliability_driven,0.2623456790123457
8,downstream_driven,0.24012345679012345
8,structural_only,0.2447530864197531
8,fixed_dev_chosen(structural_in_nn),0.2447530864197531
9,uniform,0.3533950617283951
9,random,0.3160493827160494
9,reliability_driven,0.34907407407407404
9,downstream_driven,0.3253086419753086
9,structural_only,0.31882716049382714
9,fixed_dev_chosen(structural_in_nn),0.31882716049382714
