avg_budget,d_shallow,d_deep,k_deep,rule,objective,value
25.0,25,50,0,uniform,mean_r,0.385169788761951
25.0,25,50,0,uniform,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,uniform,frac_r_ge_0.7,0.21341463414634146
25.0,25,50,0,oracle,mean_r,0.385169788761951
25.0,25,50,0,oracle,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,oracle,frac_r_ge_0.7,0.21341463414634146
25.0,25,50,0,probe,mean_r,0.385169788761951
25.0,25,50,0,probe,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,probe,frac_r_ge_0.7,0.21341463414634146
25.0,25,50,0,est_norm,mean_r,0.385169788761951
25.0,25,50,0,est_norm,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,est_norm,frac_r_ge_0.7,0.21341463414634146
25.0,25,50,0,half_split_r,mean_r,0.385169788761951
25.0,25,50,0,half_split_r,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,half_split_r,frac_r_ge_0.7,0.21341463414634146
25.0,25,50,0,random,mean_r,0.385169788761951
25.0,25,50,0,random,frac_r_ge_0.5,0.3829268292682927
25.0,25,50,0,random,frac_r_ge_0.7,0.21341463414634146
37.5,25,50,410,uniform,mean_r,0.385169788761951
37.5,25,50,410,uniform,frac_r_ge_0.5,0.3829268292682927
37.5,25,50,410,uniform,frac_r_ge_0.7,0.21341463414634146
37.5,25,50,410,oracle,mean_r,0.42986639260367426
37.5,25,50,410,oracle,frac_r_ge_0.5,0.4451219512195122
37.5,25,50,410,oracle,frac_r_ge_0.7,0.29634146341463413
37.5,25,50,410,probe,mean_r,0.4234991030446453
37.5,25,50,410,probe,frac_r_ge_0.5,0.44146341463414634
37.5,25,50,410,probe,frac_r_ge_0.7,0.3048780487804878
37.5,25,50,410,est_norm,mean_r,0.4207783520637731
37.5,25,50,410,est_norm,frac_r_ge_0.5,0.4292682926829268
37.5,25,50,410,est_norm,frac_r_ge_0.7,0.30365853658536585
37.5,25,50,410,half_split_r,mean_r,0.4218844937520002
37.5,25,50,410,half_split_r,frac_r_ge_0.5,0.4292682926829268
37.5,25,50,410,half_split_r,frac_r_ge_0.7,0.30365853658536585
37.5,25,50,410,random,mean_r,0.413245252173746
37.5,25,50,410,random,frac_r_ge_0.5,0.41341463414634144
37.5,25,50,410,random,frac_r_ge_0.7,0.2573170731707317
50.0,50,100,0,uniform,mean_r,0.44060954740606956
50.0,50,100,0,uniform,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,uniform,frac_r_ge_0.7,0.3048780487804878
50.0,50,100,0,oracle,mean_r,0.44060954740606956
50.0,50,100,0,oracle,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,oracle,frac_r_ge_0.7,0.3048780487804878
50.0,50,100,0,probe,mean_r,0.44060954740606956
50.0,50,100,0,probe,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,probe,frac_r_ge_0.7,0.3048780487804878
50.0,50,100,0,est_norm,mean_r,0.44060954740606956
50.0,50,100,0,est_norm,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,est_norm,frac_r_ge_0.7,0.3048780487804878
50.0,50,100,0,half_split_r,mean_r,0.44060954740606956
50.0,50,100,0,half_split_r,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,half_split_r,frac_r_ge_0.7,0.3048780487804878
50.0,50,100,0,random,mean_r,0.44060954740606956
50.0,50,100,0,random,frac_r_ge_0.5,0.4451219512195122
50.0,50,100,0,random,frac_r_ge_0.7,0.3048780487804878
62.5,50,100,205,uniform,mean_r,0.44060954740606956
62.5,50,100,205,uniform,frac_r_ge_0.5,0.4451219512195122
62.5,50,100,205,uniform,frac_r_ge_0.7,0.3048780487804878
