split,budget,policy,objective,value,cost,billed
0,40,uniform,mean_r,0.3983046311763971,9840.0,9840.0
0,40,uniform,frac_ge_0.7,0.26422764227642276,9840.0,9840.0
0,40,probe(dev-fitted),mean_r,0.38776569846001024,9840.0,9840.0
0,40,probe(dev-fitted),frac_ge_0.7,0.2601626016260163,9840.0,9840.0
0,40,est_norm,mean_r,0.37670255204751646,9840.0,9840.0
0,40,est_norm,frac_ge_0.7,0.21951219512195122,9840.0,9840.0
0,40,random,mean_r,0.3839766220487768,9840.0,9840.0
0,40,random,frac_ge_0.7,0.22764227642276422,9840.0,9840.0
0,40,oracle_2lvl(mean_r),mean_r,0.4009176063785761,9840.0,9840.0
0,40,oracle_2lvl(mean_r),frac_ge_0.7,0.23577235772357724,9840.0,9840.0
0,40,oracle_2lvl(frac_ge_0.7),mean_r,0.383494799200453,9840.0,9840.0
0,40,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.32113821138211385,9840.0,9840.0
0,60,uniform,mean_r,0.43210417854342215,14760.0,14760.0
0,60,uniform,frac_ge_0.7,0.2926829268292683,14760.0,14760.0
0,60,probe(dev-fitted),mean_r,0.42477044220105176,14760.0,14760.0
0,60,probe(dev-fitted),frac_ge_0.7,0.2926829268292683,14760.0,14760.0
0,60,est_norm,mean_r,0.41887775389856197,14760.0,14760.0
0,60,est_norm,frac_ge_0.7,0.32113821138211385,14760.0,14760.0
0,60,random,mean_r,0.41374066529504017,14760.0,14760.0
0,60,random,frac_ge_0.7,0.2682926829268293,14760.0,14760.0
0,60,oracle_2lvl(mean_r),mean_r,0.4388998817099728,14760.0,14760.0
0,60,oracle_2lvl(mean_r),frac_ge_0.7,0.2926829268292683,14760.0,14760.0
0,60,oracle_2lvl(frac_ge_0.7),mean_r,0.41504904967770584,14760.0,14760.0
0,60,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.32113821138211385,14760.0,14760.0
0,90,uniform,mean_r,0.46220355747623476,22140.0,22140.0
0,90,uniform,frac_ge_0.7,0.32113821138211385,22140.0,22140.0
0,90,probe(dev-fitted),mean_r,0.4626044658733422,22140.0,22140.0
0,90,probe(dev-fitted),frac_ge_0.7,0.3130081300813008,22140.0,22140.0
0,90,est_norm,mean_r,0.4625815279150999,22140.0,22140.0
0,90,est_norm,frac_ge_0.7,0.32113821138211385,22140.0,22140.0
0,90,random,mean_r,0.45547616056888746,22140.0,22140.0
0,90,random,frac_ge_0.7,0.3008130081300813,22140.0,22140.0
0,90,oracle_2lvl(mean_r),mean_r,0.47095191589252816,22140.0,22140.0
0,90,oracle_2lvl(mean_r),frac_ge_0.7,0.32113821138211385,22140.0,22140.0
0,90,oracle_2lvl(frac_ge_0.7),mean_r,0.45557986518696547,22140.0,22140.0
0,90,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.32113821138211385,22140.0,22140.0
1,40,uniform,mean_r,0.42941837925870896,9840.0,9840.0
1,40,uniform,frac_ge_0.7,0.26422764227642276,9840.0,9840.0
1,40,probe(dev-fitted),mean_r,0.41607025643446005,9840.0,9840.0
1,40,probe(dev-fitted),frac_ge_0.7,0.25609756097560976,9840.0,9840.0
1,40,est_norm,mean_r,0.4080327223842406,9840.0,9840.0
1,40,est_norm,frac_ge_0.7,0.21951219512195122,9840.0,9840.0
1,40,random,mean_r,0.4108005916574715,9840.0,9840.0
1,40,random,frac_ge_0.7,0.24796747967479674,9840.0,9840.0
1,40,oracle_2lvl(mean_r),mean_r,0.4322337425794576,9840.0,9840.0
1,40,oracle_2lvl(mean_r),frac_ge_0.7,0.2804878048780488,9840.0,9840.0
1,40,oracle_2lvl(frac_ge_0.7),mean_r,0.4196048635126132,9840.0,9840.0
1,40,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.3617886178861789,9840.0,9840.0
1,60,uniform,mean_r,0.46518755546483265,14760.0,14760.0
1,60,uniform,frac_ge_0.7,0.3008130081300813,14760.0,14760.0
1,60,probe(dev-fitted),mean_r,0.4545942729623417,14760.0,14760.0
1,60,probe(dev-fitted),frac_ge_0.7,0.33739837398373984,14760.0,14760.0
1,60,est_norm,mean_r,0.44920118425038597,14760.0,14760.0
1,60,est_norm,frac_ge_0.7,0.34552845528455284,14760.0,14760.0
1,60,random,mean_r,0.4440801772729085,14760.0,14760.0
1,60,random,frac_ge_0.7,0.2764227642276423,14760.0,14760.0
1,60,oracle_2lvl(mean_r),mean_r,0.47184698195012126,14760.0,14760.0
1,60,oracle_2lvl(mean_r),frac_ge_0.7,0.34146341463414637,14760.0,14760.0
1,60,oracle_2lvl(frac_ge_0.7),mean_r,0.4461691913287708,14760.0,14760.0
1,60,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.3617886178861789,14760.0,14760.0
1,90,uniform,mean_r,0.49702282300254375,22140.0,22140.0
1,90,uniform,frac_ge_0.7,0.34959349593495936,22140.0,22140.0
1,90,probe(dev-fitted),mean_r,0.4958389211598428,22140.0,22140.0
1,90,probe(dev-fitted),frac_ge_0.7,0.3617886178861789,22140.0,22140.0
1,90,est_norm,mean_r,0.4970597399652337,22140.0,22140.0
1,90,est_norm,frac_ge_0.7,0.3617886178861789,22140.0,22140.0
1,90,random,mean_r,0.4877632625256211,22140.0,22140.0
1,90,random,frac_ge_0.7,0.32926829268292684,22140.0,22140.0
1,90,oracle_2lvl(mean_r),mean_r,0.507043753123766,22140.0,22140.0
1,90,oracle_2lvl(mean_r),frac_ge_0.7,0.3617886178861789,22140.0,22140.0
1,90,oracle_2lvl(frac_ge_0.7),mean_r,0.4878520317251673,22140.0,22140.0
1,90,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.3617886178861789,22140.0,22140.0
2,40,uniform,mean_r,0.41586057186255426,9840.0,9840.0
2,40,uniform,frac_ge_0.7,0.2845528455284553,9840.0,9840.0
2,40,probe(dev-fitted),mean_r,0.40423924297546754,9840.0,9840.0
2,40,probe(dev-fitted),frac_ge_0.7,0.27235772357723576,9840.0,9840.0
2,40,est_norm,mean_r,0.39415907795016647,9840.0,9840.0
2,40,est_norm,frac_ge_0.7,0.23170731707317074,9840.0,9840.0
2,40,random,mean_r,0.39577183216844297,9840.0,9840.0
2,40,random,frac_ge_0.7,0.24390243902439024,9840.0,9840.0
2,40,oracle_2lvl(mean_r),mean_r,0.41760276421872383,9840.0,9840.0
2,40,oracle_2lvl(mean_r),frac_ge_0.7,0.26422764227642276,9840.0,9840.0
2,40,oracle_2lvl(frac_ge_0.7),mean_r,0.40464269613981535,9840.0,9840.0
2,40,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.35365853658536583,9840.0,9840.0
2,60,uniform,mean_r,0.4449014256874429,14760.0,14760.0
2,60,uniform,frac_ge_0.7,0.3333333333333333,14760.0,14760.0
2,60,probe(dev-fitted),mean_r,0.4351287834564928,14760.0,14760.0
2,60,probe(dev-fitted),frac_ge_0.7,0.3252032520325203,14760.0,14760.0
2,60,est_norm,mean_r,0.4384496692957061,14760.0,14760.0
2,60,est_norm,frac_ge_0.7,0.34959349593495936,14760.0,14760.0
2,60,random,mean_r,0.42378082916583504,14760.0,14760.0
2,60,random,frac_ge_0.7,0.27235772357723576,14760.0,14760.0
2,60,oracle_2lvl(mean_r),mean_r,0.45624742071604263,14760.0,14760.0
2,60,oracle_2lvl(mean_r),frac_ge_0.7,0.34552845528455284,14760.0,14760.0
2,60,oracle_2lvl(frac_ge_0.7),mean_r,0.43203479420711716,14760.0,14760.0
2,60,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.35365853658536583,14760.0,14760.0
2,90,uniform,mean_r,0.4742207515760461,22140.0,22140.0
2,90,uniform,frac_ge_0.7,0.33739837398373984,22140.0,22140.0
2,90,probe(dev-fitted),mean_r,0.473471637524672,22140.0,22140.0
2,90,probe(dev-fitted),frac_ge_0.7,0.35365853658536583,22140.0,22140.0
2,90,est_norm,mean_r,0.47426550626485964,22140.0,22140.0
2,90,est_norm,frac_ge_0.7,0.35365853658536583,22140.0,22140.0
2,90,random,mean_r,0.4681595042551398,22140.0,22140.0
2,90,random,frac_ge_0.7,0.33739837398373984,22140.0,22140.0
2,90,oracle_2lvl(mean_r),mean_r,0.48579088527883396,22140.0,22140.0
2,90,oracle_2lvl(mean_r),frac_ge_0.7,0.35365853658536583,22140.0,22140.0
2,90,oracle_2lvl(frac_ge_0.7),mean_r,0.4709655288166775,22140.0,22140.0
2,90,oracle_2lvl(frac_ge_0.7),frac_ge_0.7,0.35365853658536583,22140.0,22140.0
