split,budget,policy,objective,value,cost
0,40,uniform,mean_r,0.4156533474127426,9760.0
0,40,uniform,frac_ge_0.5,0.4016393442622951,9760.0
0,40,uniform,frac_ge_0.7,0.2827868852459016,9760.0
0,40,probe(dev-fitted),mean_r,0.4073752905790824,9760.0
0,40,probe(dev-fitted),frac_ge_0.5,0.4139344262295082,9760.0
0,40,probe(dev-fitted),frac_ge_0.7,0.2786885245901639,9760.0
0,40,est_norm,mean_r,0.3964098285149867,9760.0
0,40,est_norm,frac_ge_0.5,0.3770491803278688,9760.0
0,40,est_norm,frac_ge_0.7,0.21721311475409835,9760.0
0,40,half_split_r,mean_r,0.3976186910795895,9760.0
0,40,half_split_r,frac_ge_0.5,0.3770491803278688,9760.0
0,40,half_split_r,frac_ge_0.7,0.22950819672131148,9760.0
0,40,noise_ratio,mean_r,0.38764376702268044,9760.0
0,40,noise_ratio,frac_ge_0.5,0.38114754098360654,9760.0
0,40,noise_ratio,frac_ge_0.7,0.20901639344262296,9760.0
0,40,prior_typiclust,mean_r,0.40093833370827003,9760.0
0,40,prior_typiclust,frac_ge_0.5,0.38524590163934425,9760.0
0,40,prior_typiclust,frac_ge_0.7,0.26229508196721313,9760.0
0,40,random,mean_r,0.40260011911321597,9760.0
0,40,random,frac_ge_0.5,0.4139344262295082,9760.0
0,40,random,frac_ge_0.7,0.2459016393442623,9760.0
0,40,oracle_mean_r,mean_r,0.4200019374366689,9760.0
0,40,oracle_mean_r,frac_ge_0.5,0.47950819672131145,9760.0
0,40,oracle_mean_r,frac_ge_0.7,0.2540983606557377,9760.0
0,40,oracle_frac_ge_0.5,mean_r,0.4088851701345134,9760.0
0,40,oracle_frac_ge_0.5,frac_ge_0.5,0.5081967213114754,9760.0
0,40,oracle_frac_ge_0.5,frac_ge_0.7,0.21311475409836064,9760.0
0,40,oracle_frac_ge_0.7,mean_r,0.40510910986226095,9760.0
0,40,oracle_frac_ge_0.7,frac_ge_0.5,0.38524590163934425,9760.0
0,40,oracle_frac_ge_0.7,frac_ge_0.7,0.3442622950819672,9760.0
0,55,uniform,mean_r,0.44371212654714626,13420.0
0,55,uniform,frac_ge_0.5,0.45081967213114754,13420.0
0,55,uniform,frac_ge_0.7,0.29918032786885246,13420.0
0,55,probe(dev-fitted),mean_r,0.4341977969309139,13420.0
0,55,probe(dev-fitted),frac_ge_0.5,0.45491803278688525,13420.0
0,55,probe(dev-fitted),frac_ge_0.7,0.3237704918032787,13420.0
0,55,est_norm,mean_r,0.4259267369248011,13420.0
0,55,est_norm,frac_ge_0.5,0.4016393442622951,13420.0
0,55,est_norm,frac_ge_0.7,0.3319672131147541,13420.0
0,55,half_split_r,mean_r,0.42438668017437847,13420.0
0,55,half_split_r,frac_ge_0.5,0.4016393442622951,13420.0
0,55,half_split_r,frac_ge_0.7,0.319672131147541,13420.0
0,55,noise_ratio,mean_r,0.407009582071504,13420.0
0,55,noise_ratio,frac_ge_0.5,0.39344262295081966,13420.0
0,55,noise_ratio,frac_ge_0.7,0.20901639344262296,13420.0
0,55,prior_typiclust,mean_r,0.42662741312018565,13420.0
0,55,prior_typiclust,frac_ge_0.5,0.4262295081967213,13420.0
0,55,prior_typiclust,frac_ge_0.7,0.3073770491803279,13420.0
0,55,random,mean_r,0.4211076716210151,13420.0
0,55,random,frac_ge_0.5,0.4344262295081967,13420.0
0,55,random,frac_ge_0.7,0.26229508196721313,13420.0
0,55,oracle_mean_r,mean_r,0.4495151359115567,13420.0
0,55,oracle_mean_r,frac_ge_0.5,0.5,13420.0
0,55,oracle_mean_r,frac_ge_0.7,0.319672131147541,13420.0
0,55,oracle_frac_ge_0.5,mean_r,0.4322705500096953,13420.0
0,55,oracle_frac_ge_0.5,frac_ge_0.5,0.5081967213114754,13420.0
0,55,oracle_frac_ge_0.5,frac_ge_0.7,0.25,13420.0
0,55,oracle_frac_ge_0.7,mean_r,0.42599052507249013,13420.0
0,55,oracle_frac_ge_0.7,frac_ge_0.5,0.4180327868852459,13420.0
0,55,oracle_frac_ge_0.7,frac_ge_0.7,0.3442622950819672,13420.0
0,70,uniform,mean_r,0.46229009681713357,17080.0
0,70,uniform,frac_ge_0.5,0.4713114754098361,17080.0
0,70,uniform,frac_ge_0.7,0.3237704918032787,17080.0
0,70,probe(dev-fitted),mean_r,0.4546947859110288,17080.0
0,70,probe(dev-fitted),frac_ge_0.5,0.48360655737704916,17080.0
0,70,probe(dev-fitted),frac_ge_0.7,0.3442622950819672,17080.0
0,70,est_norm,mean_r,0.45958707741219323,17080.0
0,70,est_norm,frac_ge_0.5,0.5,17080.0
0,70,est_norm,frac_ge_0.7,0.3442622950819672,17080.0
0,70,half_split_r,mean_r,0.4580716427466183,17080.0
0,70,half_split_r,frac_ge_0.5,0.48770491803278687,17080.0
0,70,half_split_r,frac_ge_0.7,0.3442622950819672,17080.0
0,70,noise_ratio,mean_r,0.43933464816511897,17080.0
0,70,noise_ratio,frac_ge_0.5,0.47950819672131145,17080.0
0,70,noise_ratio,frac_ge_0.7,0.22540983606557377,17080.0
0,70,prior_typiclust,mean_r,0.4525292919849458,17080.0
0,70,prior_typiclust,frac_ge_0.5,0.48360655737704916,17080.0
0,70,prior_typiclust,frac_ge_0.7,0.3319672131147541,17080.0
0,70,random,mean_r,0.44391945151079704,17080.0
0,70,random,frac_ge_0.5,0.46311475409836067,17080.0
0,70,random,frac_ge_0.7,0.29508196721311475,17080.0
0,70,oracle_mean_r,mean_r,0.47077631153839977,17080.0
0,70,oracle_mean_r,frac_ge_0.5,0.5,17080.0
0,70,oracle_mean_r,frac_ge_0.7,0.3319672131147541,17080.0
0,70,oracle_frac_ge_0.5,mean_r,0.4526158836403037,17080.0
0,70,oracle_frac_ge_0.5,frac_ge_0.5,0.5081967213114754,17080.0
0,70,oracle_frac_ge_0.5,frac_ge_0.7,0.28688524590163933,17080.0
0,70,oracle_frac_ge_0.7,mean_r,0.446985770883344,17080.0
0,70,oracle_frac_ge_0.7,frac_ge_0.5,0.4426229508196721,17080.0
0,70,oracle_frac_ge_0.7,frac_ge_0.7,0.3442622950819672,17080.0
0,90,uniform,mean_r,0.4806424402030658,21960.0
0,90,uniform,frac_ge_0.5,0.5040983606557377,21960.0
0,90,uniform,frac_ge_0.7,0.3360655737704918,21960.0
0,90,probe(dev-fitted),mean_r,0.47887749783313055,21960.0
0,90,probe(dev-fitted),frac_ge_0.5,0.5081967213114754,21960.0
0,90,probe(dev-fitted),frac_ge_0.7,0.3442622950819672,21960.0
0,90,est_norm,mean_r,0.4821465406686136,21960.0
0,90,est_norm,frac_ge_0.5,0.5081967213114754,21960.0
0,90,est_norm,frac_ge_0.7,0.3442622950819672,21960.0
0,90,half_split_r,mean_r,0.4797828451927835,21960.0
0,90,half_split_r,frac_ge_0.5,0.5040983606557377,21960.0
0,90,half_split_r,frac_ge_0.7,0.3442622950819672,21960.0
0,90,noise_ratio,mean_r,0.4757402061225205,21960.0
0,90,noise_ratio,frac_ge_0.5,0.5081967213114754,21960.0
0,90,noise_ratio,frac_ge_0.7,0.3360655737704918,21960.0
