prior,uncentered,centered_cka,centered_cka_zero_diag,code_kernel_alignment,rank_uncentered,rank_centered_cka,rank_centered_cka_zero_diag,rank_code_kernel_alignment,n_labeled_sim
pops,0.6860718429843017,0.6463612531018135,-0.15128796599806038,0.6860718429843017,4.0,6.0,9.0,4.0,10
rpe1,0.4838468134403229,0.6351468574462891,0.2682667585721348,0.4838468134403229,9.0,7.0,2.0,9.0,10
esm,0.48743778467178345,0.707424956903874,0.17007334911908492,0.48743778467178345,8.0,4.0,4.0,8.0,10
biogpt,0.5042389035224915,0.7252187882764773,0.2159842242462159,0.5042389035224915,7.0,2.0,3.0,7.0,10
node2vec,0.6861364245414734,0.7174532299706645,0.05717043081190093,0.6861364245414734,3.0,3.0,6.0,3.0,10
ops_A549,0.7130323913972808,0.6898921880252917,-0.02705796740523446,0.7130323913972808,2.0,5.0,8.0,2.0,10
ops_HeLa_HPLM,0.5182893182175794,0.5331868388058972,0.00688677887571939,0.5182893182175794,6.0,9.0,7.0,6.0,10
ops_HeLa_DMEM,0.6099307962068565,0.6291704413674837,0.06142102873786865,0.6099307962068565,5.0,8.0,5.0,5.0,10
ground_truth_delta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
pops,0.45752935371249626,0.45712185558809215,0.1521627702729018,0.45752935371249626,5.0,5.0,4.0,5.0,20
rpe1,0.6313963532447815,0.600135001234592,0.44879074011069886,0.6313963532447815,2.0,2.0,2.0,2.0,20
esm,0.4417363703250885,0.40301078946278407,0.10506647770381883,0.4417363703250885,6.0,9.0,6.0,6.0,20
biogpt,0.4282935857772827,0.5103114344012674,0.14211590306477787,0.4282935857772827,8.0,4.0,5.0,8.0,20
node2vec,0.6063612699508667,0.5914536778915997,0.21503826872579665,0.6063612699508667,3.0,3.0,3.0,3.0,20
ops_A549,0.5074195813348303,0.44245255772936054,0.024829903433548416,0.5074195813348303,4.0,7.0,7.0,4.0,20
ops_HeLa_HPLM,0.3813345717983632,0.41845055266879,-0.08239132397844197,0.3813345717983632,9.0,8.0,9.0,9.0,20
ops_HeLa_DMEM,0.4371025399718502,0.45433187315511925,0.0018711028109643217,0.4371025399718502,7.0,6.0,8.0,7.0,20
ground_truth_delta,0.9999998807907104,1.0,1.0,0.9999998807907104,1.0,1.0,1.0,1.0,20
pops,0.5440110012319034,0.5320374577512275,0.1121533769089755,0.5440110012319034,2.0,2.0,3.0,2.0,50
rpe1,0.5217610001564026,0.43804268744161645,0.31917269068622783,0.5217610001564026,3.0,5.0,2.0,3.0,50
esm,0.3159078061580658,0.3048762479248241,0.0467915329608496,0.3159078061580658,9.0,9.0,8.0,9.0,50
biogpt,0.3395824730396271,0.5007461743103393,0.07986946802724648,0.3395824730396271,8.0,3.0,5.0,8.0,50
node2vec,0.41857579350471497,0.36469354187940173,0.07568571118668774,0.41857579350471497,5.0,7.0,6.0,5.0,50
ops_A549,0.46140629227646934,0.44111576240427536,0.0074390346049098615,0.46140629227646934,4.0,4.0,9.0,4.0,50
ops_HeLa_HPLM,0.3468479369468112,0.3319426177406523,0.050107605101008805,0.3468479369468112,7.0,8.0,7.0,7.0,50
ops_HeLa_DMEM,0.3962406737522994,0.3837895464070026,0.09564963132577216,0.3962406737522994,6.0,6.0,4.0,6.0,50
ground_truth_delta,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,50
pops,0.3908269730803672,0.34454195327821174,0.14279546374237087,0.3908269730803672,3.0,3.0,5.0,3.0,100
rpe1,0.48679012060165405,0.3690006988465097,0.3147485113555706,0.48679012060165405,2.0,2.0,2.0,2.0,100
esm,0.3037504553794861,0.18925160488257878,0.044303198933303346,0.3037504553794861,7.0,9.0,8.0,7.0,100
biogpt,0.3056289553642273,0.26714728978755636,0.04298115758756496,0.3056289553642273,6.0,6.0,9.0,6.0,100
node2vec,0.3789433240890503,0.3098922522387628,0.17142112582894678,0.3789433240890503,4.0,4.0,3.0,4.0,100
ops_A549,0.3602717799848626,0.2658633767012448,0.06833995689984963,0.3602717799848626,5.0,7.0,7.0,5.0,100
ops_HeLa_HPLM,0.2728320893335579,0.2782989441341599,0.15473801879956833,0.2728320893335579,9.0,5.0,4.0,9.0,100
ops_HeLa_DMEM,0.2745299883734487,0.26004983494880174,0.10641947484436372,0.2745299883734487,8.0,8.0,6.0,8.0,100
ground_truth_delta,1.0000001192092896,1.0,0.9999999999999999,1.0000001192092896,1.0,1.0,1.0,1.0,100
