method,n_labeled,mean,std,min,max,count
IterPert,100,0.11530101122710656,0.012913950959901279,0.0944624208932169,0.1322701750063985,10
IterPert,200,0.2338441793685157,0.02120571406422436,0.2070692572428474,0.2755585588218638,10
IterPert,300,0.26540670965352925,0.01347574532192225,0.2446938121136877,0.2810699126153806,10
IterPert,400,0.2731920577893233,0.019099044018662935,0.2396780512225892,0.2932253540272341,10
IterPert,500,0.27961914549635447,0.018082028384705583,0.250758973244382,0.3004641334154201,10
IterPert,600,0.2841539950447552,0.012128916358619419,0.2684755059024121,0.3073434368238878,10
IterPert,nALC,0.25035791908873073,,,,10
Random,100,0.11682392646868356,0.013304495886315775,0.0876975304385605,0.1344165688181041,10
Random,200,0.1737345555304309,0.01936331748949705,0.1387347938827634,0.2072788052840647,10
Random,300,0.2158836069562855,0.017945789040833052,0.1810138936013438,0.2344077191315239,10
Random,400,0.21052531920018452,0.011811502128754777,0.189200076116817,0.2280373858108369,10
Random,500,0.24766749640228505,0.013653705530635045,0.227981799379508,0.2737769485353428,10
Random,600,0.2619996468725955,0.013866739083295786,0.2366818879619659,0.2809002880058224,10
Random,nALC,0.2074445529519651,,,,10
Core-Set,100,0.1148873283162661,0.013122752604520001,0.0906916090292149,0.1331261482146427,10
Core-Set,200,0.18604070638317832,0.024623839355626773,0.1330899505873428,0.2132750577404859,10
Core-Set,300,0.21281659617862983,0.02193932072963357,0.185143415423538,0.2452411578616117,10
Core-Set,400,0.23658844123616712,0.029046601648092963,0.1847739795453987,0.2747718490489223,10
Core-Set,500,0.25126930899477734,0.02485808158195678,0.2138727130260456,0.2888175066349299,10
Core-Set,600,0.2512058002023164,0.025696565940323258,0.1931664388130003,0.2883780060395962,10
Core-Set,nALC,0.2139523234104088,,,,10
BADGE,100,0.11581704427141719,0.01617331765541286,0.0807488436340811,0.1381138686909598,10
BADGE,200,0.19338650936185459,0.01724135143426897,0.1685010117385899,0.2163766677637217,10
BADGE,300,0.22485686824171874,0.017650639916233158,0.2082038004757132,0.2669103283692517,10
BADGE,400,0.2519052762252426,0.012852622858503212,0.2322649898659913,0.2673028306232413,10
BADGE,500,0.26628179406240016,0.01617820938869486,0.2401384851780527,0.296419903077844,10
BADGE,600,0.2770062702849917,0.012620263908037995,0.2611002735390464,0.2956947792898084,10
BADGE,nALC,0.22656842103388414,,,,10
TypiClust,100,0.11656097588282184,0.014540899697575403,0.08687298923416,0.1370170596622418,10
TypiClust,200,0.20555029503044148,0.016882066010661202,0.1745222039772307,0.2347787947497717,10
TypiClust,300,0.23094914061371474,0.014921017495484532,0.2112234522567587,0.2518887883376202,10
TypiClust,400,0.24895205005977986,0.012664413634237861,0.2261537275207454,0.2691366801493666,10
TypiClust,500,0.2646585328070946,0.013940975563823765,0.2458169942569514,0.2941159019138296,10
TypiClust,600,0.27468303784808595,0.012597190080894766,0.2570753615969698,0.2947739886925549,10
TypiClust,nALC,0.2291464050752969,,,,10
BALD,100,0.11552581621825772,0.015572374840259608,0.0885960153605171,0.1349383688251274,10
BALD,200,0.17662820133463003,0.01747232670639606,0.1589474655629975,0.2095477560405337,10
BALD,300,0.20159947761220431,0.02610705564290842,0.1376598300890737,0.2253678526343686,10
BALD,400,0.22284384239854088,0.02312048953760672,0.1947271951794655,0.2592857439151255,10
BALD,500,0.22570396267443668,0.02081598440360724,0.1982292814850332,0.2695111129588756,10
BALD,600,0.24868120979326952,0.01359790815461182,0.2241170752829082,0.2666388148001626,10
BALD,nALC,0.20177579940511509,,,,10
LCMD,100,0.11559815668988886,0.013566135037181548,0.0888943031473018,0.1337584577999295,10
LCMD,200,0.17764846446525653,0.025413525491014232,0.1440469038911231,0.2160894658339999,10
LCMD,300,0.23241672108062383,0.017310125360481418,0.1994500390621557,0.2526567229486569,10
LCMD,400,0.24763101094458176,0.01522301537076094,0.2205051474402897,0.2674079040268245,10
LCMD,500,0.262294420563943,0.01573905673142199,0.2374934035985508,0.2792818555278164,10
LCMD,600,0.275871011175372,0.011593164971135177,0.2653835002384264,0.3054347812884904,10
LCMD,nALC,0.2231450401974071,,,,10
ACS-FW,100,0.11574841242439518,0.014438493448055029,0.086374448105023,0.1319436268950542,10
ACS-FW,200,0.19969135128338658,0.016926054719232277,0.1709524226266424,0.2212146057960672,10
ACS-FW,300,0.22841793135822988,0.02844197805588861,0.176058657665265,0.2610050286612188,10
ACS-FW,400,0.2466234130511868,0.022151523601936982,0.1938142803662743,0.277079673979907,10
ACS-FW,500,0.26699553465638176,0.016923933018834214,0.2448954806861057,0.3015785250012612,10
ACS-FW,600,0.2747331968598515,0.01592051561422962,0.2415741430361258,0.2943672378776722,10
ACS-FW,nALC,0.22739380699826167,,,,10
BatchBALD,100,0.1146348509630249,0.014256745759083322,0.0857668733084622,0.1342824100202541,10
BatchBALD,200,0.20057775177565978,0.021509722092832168,0.1573966860768748,0.22822680574897,10
BatchBALD,300,0.20636765107920235,0.021553614968172798,0.1663267680610307,0.2356459710966285,10
BatchBALD,400,0.23689075217759395,0.01934415036021581,0.2085989672677486,0.2652716219501258,10
BatchBALD,500,0.24051973066251503,0.007090424328870252,0.2281327383584629,0.2485057933483611,10
BatchBALD,600,0.2500303316984871,0.015780228501940188,0.2328191355908056,0.2768311623770104,10
BatchBALD,nALC,0.21333769540514544,,,,10
KMeans,100,0.11673339246242354,0.012902254202998861,0.0910630153921947,0.1328702754266157,10
KMeans,200,0.20580287303709127,0.017347631238001617,0.1754226967496953,0.2366827444296519,10
KMeans,300,0.23567874206713496,0.02539318654001351,0.1811977707255969,0.2739771587496575,10
KMeans,400,0.25162231126849616,0.02183144592925048,0.2114550634662834,0.2800709574612711,10
KMeans,500,0.2640157752061353,0.017320763845734197,0.2347685267628505,0.288190040609208,10
KMeans,600,0.2746077771054433,0.01868288819375306,0.2518476910323198,0.3123167798212468,10
KMeans,nALC,0.2305580572725582,,,,10
