method,nalc_mean,nalc_std,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IterPert,0.25035791908873073,0.009218370343534664,0.25058192280231517,0.25588670672463126,0.2497112129953651,0.23619752669971666,0.26873103576540697,0.24003316855505916,0.24657519647821582,0.2566959189457413,0.2536698883553721,0.24549661356548375
Random,0.20744455295196515,0.007487696575240736,0.21410685695930626,0.208657963453859,0.216889478503027,0.19624331393817296,0.21179431093448473,0.19822579234305152,0.20190931247012694,0.21385324526373142,0.20062998364220827,0.2121352720116832
Core-Set,0.21395232341040876,0.0167986351967203,0.2260750739703077,0.19883930270409753,0.19827175257062835,0.23704124545437422,0.19233730694444834,0.23322547483972383,0.2012698374711028,0.23230028947052694,0.21318636347508493,0.2069765872037931
BADGE,0.22656842103388408,0.009252831958407726,0.21943322041343297,0.23908238268732374,0.21588412259226725,0.22344429267699858,0.23052639851371656,0.22715111961061774,0.2226079540040758,0.24522136916643894,0.22191792372366967,0.2204154269502996
TypiClust,0.22914640507529688,0.004965699237469743,0.22641475263413802,0.2372102025252946,0.2288223432301296,0.225399058104844,0.23302658459980713,0.22221111810893035,0.22606490816992045,0.23222025385334794,0.23512517685058662,0.22496965267597033
BALD,0.2017757994051151,0.01305535626966634,0.17739358592785803,0.2215843185622637,0.1996271617739601,0.20756642831144348,0.19587041401991945,0.19966575857592392,0.198562112706859,0.1986742839932868,0.19649920103880844,0.22231472914082825
LCMD,0.2231450401974071,0.011428799464122561,0.226734892799326,0.21557519089200297,0.2251596840941513,0.23266291718847526,0.24032893675199918,0.21148265956682144,0.20062252775950862,0.22561795157969794,0.22206591927041006,0.23119972207167808
ACS-FW,0.22739380699826164,0.011657567862445905,0.2398794947378972,0.2178274673907251,0.2381731370026346,0.2117677021457423,0.21509660157399366,0.2396626923488647,0.22061250842728014,0.2218382908942387,0.22633708824600549,0.24274308721523472
BatchBALD,0.21333769540514544,0.008421192021522996,0.19781726871103242,0.22291583243364213,0.21361628462735285,0.20890973160006177,0.21210513542931023,0.22221826484932256,0.20803930951096025,0.2252652817614821,0.20760788235224906,0.21488196277604082
KMeans,0.23055805727255815,0.01222994772784751,0.22659677907624753,0.23891545813995063,0.24088676000930562,0.23488758395175421,0.2474262640912321,0.22876029890277025,0.22682639264477375,0.2017085376536749,0.2297852633231001,0.22978723493277292
