method,n_labeled,round_gain_mean,round_gain_std
IterPert,100,0.11530101122710656,0.012913950959901279
IterPert,200,0.11854316814140915,0.026432766259230724
IterPert,300,0.0315625302850135,0.01915169639423293
IterPert,400,0.007785348135794038,0.01930678340557526
IterPert,500,0.006427087707031218,0.02658359808409401
IterPert,600,0.004534849548400677,0.02226866819246171
Random,100,0.11682392646868356,0.013304495886315775
Random,200,0.056910629061747375,0.026304986078372568
Random,300,0.04214905142585457,0.01773506898224176
Random,400,-0.005358287756100916,0.013868436872088134
Random,500,0.03714217720210046,0.020224916652939854
Random,600,0.014332150470310497,0.01904272563429971
Core-Set,100,0.1148873283162661,0.013122752604520001
Core-Set,200,0.07115337806691222,0.029599636687440672
Core-Set,300,0.02677588979545148,0.024293169430009254
Core-Set,400,0.023771845057537343,0.03096182281691657
Core-Set,500,0.0146808677586102,0.023125972392915844
Core-Set,600,-6.350879246092844e-05,0.02348407696604532
BADGE,100,0.11581704427141719,0.01617331765541286
BADGE,200,0.07756946509043737,0.02005240853044848
BADGE,300,0.03147035887986414,0.015341384258956035
BADGE,400,0.02704840798352388,0.021608420739406522
BADGE,500,0.014376517837157501,0.018539315076846544
BADGE,600,0.0107244762225916,0.01667993746091104
TypiClust,100,0.11656097588282184,0.014540899697575403
TypiClust,200,0.08898931914761962,0.021871580074323962
TypiClust,300,0.025398845583273256,0.025371638086671148
TypiClust,400,0.018002909446065102,0.021377610972624916
TypiClust,500,0.015706482747314784,0.014989656310646405
TypiClust,600,0.01002450504099133,0.0191331926398442
BALD,100,0.11552581621825772,0.015572374840259608
BALD,200,0.061102385116372296,0.02045300667358621
BALD,300,0.024971276277574322,0.024976888912525374
BALD,400,0.021244364786336553,0.02914161003053922
BALD,500,0.002860120275895786,0.024063681281912584
BALD,600,0.022977247118832828,0.01766128125607425
LCMD,100,0.11559815668988886,0.013566135037181548
LCMD,200,0.06205030777536767,0.028846548703323677
LCMD,300,0.054768256615367314,0.019911204882615205
LCMD,400,0.015214289863957875,0.018066077620012416
LCMD,500,0.014663409619361254,0.013061586391789842
LCMD,600,0.013576590611428976,0.015714010092001924
ACS-FW,100,0.11574841242439518,0.014438493448055029
ACS-FW,200,0.08394293885899141,0.015028741033819487
ACS-FW,300,0.028726580074843307,0.03255121726898911
ACS-FW,400,0.01820548169295689,0.034531591018941335
ACS-FW,500,0.02037212160519499,0.021178086159656526
ACS-FW,600,0.007737662203469697,0.018605546121112627
BatchBALD,100,0.1146348509630249,0.014256745759083322
BatchBALD,200,0.08594290081263488,0.02401174086605173
BatchBALD,300,0.005789899303542609,0.027955565222472754
BatchBALD,400,0.03052310109839156,0.03275493232650384
BatchBALD,500,0.0036289784849211472,0.01874328401034998
BatchBALD,600,0.009510601035972044,0.014221844138108342
KMeans,100,0.11673339246242354,0.012902254202998861
KMeans,200,0.08906948057466776,0.020371947095321686
KMeans,300,0.02987586903004366,0.027871766358611674
KMeans,400,0.01594356920136117,0.02831917563179544
KMeans,500,0.012393463937639095,0.022394491025796312
KMeans,600,0.01059200189930809,0.016290806733276906
