method,threshold,mean_n_labeled,std_n_labeled,fraction_reached,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IterPert,0.25,300.0,66.66666666666667,1.0,200.0,300.0,300.0,400.0,200.0,300.0,300.0,300.0,300.0,400.0
IterPert,0.27,355.55555555555554,101.37937550497033,0.9,300.0,300.0,400.0,,200.0,500.0,500.0,300.0,300.0,400.0
Random,0.25,566.6666666666666,50.0,0.9,600.0,600.0,500.0,500.0,,600.0,600.0,500.0,600.0,600.0
Random,0.27,575.0,50.0,0.4,,600.0,600.0,500.0,,,,,,600.0
Core-Set,0.25,457.14285714285717,78.67957924694431,0.7,500.0,,500.0,400.0,,400.0,,400.0,400.0,600.0
Core-Set,0.27,475.0,50.0,0.4,500.0,,500.0,,,500.0,,400.0,,
BADGE,0.25,450.0,84.98365855987974,1.0,400.0,400.0,600.0,400.0,500.0,500.0,400.0,300.0,500.0,500.0
BADGE,0.27,557.1428571428571,53.452248382484875,0.7,,500.0,600.0,600.0,,,600.0,500.0,600.0,500.0
TypiClust,0.25,440.0,84.32740427115678,1.0,500.0,400.0,500.0,400.0,600.0,500.0,400.0,400.0,400.0,300.0
TypiClust,0.27,557.1428571428571,53.452248382484875,0.7,600.0,500.0,500.0,,600.0,,500.0,600.0,600.0,
BALD,0.25,540.0,89.44271909999159,0.5,,400.0,600.0,600.0,,,,600.0,,500.0
BALD,0.27,,,0.0,,,,,,,,,,
LCMD,0.25,450.0,117.85113019775793,1.0,300.0,400.0,400.0,300.0,400.0,600.0,600.0,600.0,400.0,500.0
LCMD,0.27,537.5,51.75491695067657,0.8,600.0,,500.0,500.0,500.0,600.0,600.0,,500.0,500.0
ACS-FW,0.25,450.0,108.01234497346434,1.0,300.0,600.0,300.0,500.0,600.0,500.0,400.0,400.0,500.0,400.0
ACS-FW,0.27,537.5,74.40238091428449,0.8,400.0,600.0,600.0,,,500.0,500.0,600.0,600.0,500.0
BatchBALD,0.25,500.0,109.54451150103323,0.6,,,,600.0,,400.0,400.0,400.0,600.0,600.0
BatchBALD,0.27,600.0,0.0,0.2,,,,600.0,,,,600.0,,
KMeans,0.25,420.0,91.89365834726814,1.0,300.0,400.0,300.0,400.0,400.0,500.0,400.0,600.0,500.0,400.0
KMeans,0.27,471.42857142857144,111.26972805283737,0.7,,400.0,300.0,500.0,400.0,500.0,,,600.0,600.0
