round,n_new_genes,n_new_go_terms,cumulative_go_terms,go_entropy_batch,pathway_repeat_rate_batch,method
1,0,0,0,,,IterPert
2,0,0,0,,,IterPert
3,0,0,0,,,IterPert
4,0,0,0,,,IterPert
5,0,0,0,,,IterPert
1,0,0,0,,,Random
2,0,0,0,,,Random
3,0,0,0,,,Random
4,0,0,0,,,Random
5,0,0,0,,,Random
1,0,0,0,,,Core-Set
2,0,0,0,,,Core-Set
3,0,0,0,,,Core-Set
4,0,0,0,,,Core-Set
5,0,0,0,,,Core-Set
1,0,0,0,,,BADGE
2,0,0,0,,,BADGE
3,0,0,0,,,BADGE
4,0,0,0,,,BADGE
5,0,0,0,,,BADGE
1,0,0,0,,,TypiClust
2,0,0,0,,,TypiClust
3,0,0,0,,,TypiClust
4,0,0,0,,,TypiClust
5,0,0,0,,,TypiClust
