round,method_a,method_b,jaccard
1,IterPert,Random,
1,IterPert,Core-Set,
1,IterPert,BADGE,
1,IterPert,TypiClust,
1,Random,Core-Set,
1,Random,BADGE,
1,Random,TypiClust,
1,Core-Set,BADGE,
1,Core-Set,TypiClust,
1,BADGE,TypiClust,
2,IterPert,Random,
2,IterPert,Core-Set,
2,IterPert,BADGE,
2,IterPert,TypiClust,
2,Random,Core-Set,
2,Random,BADGE,
2,Random,TypiClust,
2,Core-Set,BADGE,
2,Core-Set,TypiClust,
2,BADGE,TypiClust,
3,IterPert,Random,
3,IterPert,Core-Set,
3,IterPert,BADGE,
3,IterPert,TypiClust,
3,Random,Core-Set,
3,Random,BADGE,
3,Random,TypiClust,
3,Core-Set,BADGE,
3,Core-Set,TypiClust,
3,BADGE,TypiClust,
4,IterPert,Random,
4,IterPert,Core-Set,
4,IterPert,BADGE,
4,IterPert,TypiClust,
4,Random,Core-Set,
4,Random,BADGE,
4,Random,TypiClust,
4,Core-Set,BADGE,
4,Core-Set,TypiClust,
4,BADGE,TypiClust,
5,IterPert,Random,
5,IterPert,Core-Set,
5,IterPert,BADGE,
5,IterPert,TypiClust,
5,Random,Core-Set,
5,Random,BADGE,
5,Random,TypiClust,
5,Core-Set,BADGE,
5,Core-Set,TypiClust,
5,BADGE,TypiClust,
