prior,metric,mean_similarity_to_others
biogpt_kernel,uncentered_alignment,0.5694821717847653
esm_kernel,uncentered_alignment,0.5638989913676076
node2vec_kernel,uncentered_alignment,0.5407728089405294
ops_A549_kernel,uncentered_alignment,0.49193608619059565
ops_HeLa_DMEM_kernel,uncentered_alignment,0.21176899342367092
ops_HeLa_HPLM_kernel,uncentered_alignment,0.19464604055051377
pops_kernel,uncentered_alignment,0.33059189200242145
rpe1_kernel,uncentered_alignment,0.42478537012460343
biogpt_kernel,centered_cka,0.07618004419928055
esm_kernel,centered_cka,0.04765900261332306
node2vec_kernel,centered_cka,0.12280660295553056
ops_A549_kernel,centered_cka,0.05340987526739306
ops_HeLa_DMEM_kernel,centered_cka,0.10298125453049246
ops_HeLa_HPLM_kernel,centered_cka,0.11230174189681873
pops_kernel,centered_cka,0.1270186922062675
rpe1_kernel,centered_cka,0.0809706025911818
biogpt_kernel,centered_cka_zero_diag,0.06883153378523844
esm_kernel,centered_cka_zero_diag,0.044788147880365003
node2vec_kernel,centered_cka_zero_diag,0.11402985511740163
ops_A549_kernel,centered_cka_zero_diag,0.04136352802547475
ops_HeLa_DMEM_kernel,centered_cka_zero_diag,0.09266866651934655
ops_HeLa_HPLM_kernel,centered_cka_zero_diag,0.10329458958503
pops_kernel,centered_cka_zero_diag,0.11140025450863875
rpe1_kernel,centered_cka_zero_diag,0.07871392829753664
