prior_a,prior_b,uncentered_alignment,centered_cka,centered_cka_zero_diag,offdiag_spearman
pops_kernel,pops_kernel,1.0000000000000004,0.9999999999999994,1.0000000000000002,1.0
pops_kernel,rpe1_kernel,0.3795214495902751,0.10869480547407948,0.1077465942019619,0.22758974822270364
pops_kernel,esm_kernel,0.4164178966929582,0.11105574373041838,0.09389274334140064,0.03822239012626645
pops_kernel,biogpt_kernel,0.433192544495666,0.19551578055022095,0.167598575324378,0.09610740778066836
pops_kernel,node2vec_kernel,0.46637026152290895,0.26719826449142225,0.265630436026513,0.11955846637128346
pops_kernel,ops_A549_kernel,0.3629449813204019,0.0727161242021371,0.04643245670039612,0.03697848193207222
pops_kernel,ops_HeLa_HPLM_kernel,0.12724492849383856,0.07056954393181172,0.054642462841880596,0.030370515838613936
pops_kernel,ops_HeLa_DMEM_kernel,0.12845118190090163,0.0633805830637825,0.04385851312394108,0.013930647525186255
rpe1_kernel,rpe1_kernel,1.0000419616699219,1.0000000000000007,1.0000000000000004,1.0
rpe1_kernel,esm_kernel,0.6036931276321411,0.030866237172138683,0.031195660176998267,0.07049346675608079
rpe1_kernel,biogpt_kernel,0.6121472120285034,0.04652417986264742,0.04721654370826222,0.10274924487967227
rpe1_kernel,node2vec_kernel,0.5546401143074036,0.12489234842301505,0.12110662408534498,0.03949437124227511
rpe1_kernel,ops_A549_kernel,0.5111980256377315,0.08826142788899546,0.08389138042698677,0.04229022866252091
rpe1_kernel,ops_HeLa_HPLM_kernel,0.17031326586336826,0.09852910046141224,0.09493133322917269,0.029682034498969785
rpe1_kernel,ops_HeLa_DMEM_kernel,0.14198439581280098,0.06902611885598428,0.0649093622540296,-0.02034774304849659
esm_kernel,esm_kernel,1.0000004768371582,1.0000000000000004,0.9999999999999998,0.9999999999999998
esm_kernel,biogpt_kernel,0.970515787601471,0.05524588530337757,0.08326067238722336,0.004122545729034714
esm_kernel,node2vec_kernel,0.840316116809845,0.08364900785172918,0.07514552153278543,0.052596541817950294
esm_kernel,ops_A549_kernel,0.7695643176562645,0.02112118252217385,0.01385470407080356,0.01647617282200155
esm_kernel,ops_HeLa_HPLM_kernel,0.15065925835655247,0.015745715589349955,0.008387670234213652,0.013471044979624985
esm_kernel,ops_HeLa_DMEM_kernel,0.19612643482402028,0.015929246124073846,0.0077800634191301345,0.01362943660893337
biogpt_kernel,biogpt_kernel,1.0000001192092896,0.9999999999999994,1.0000000000000004,1.0
biogpt_kernel,node2vec_kernel,0.8460677862167358,0.14226127111401712,0.1271186948411433,0.0010124415212278695
biogpt_kernel,ops_A549_kernel,0.7756960046964663,0.0321255696594618,0.021010202365608903,-0.011973975917026314
biogpt_kernel,ops_HeLa_HPLM_kernel,0.15233882030241588,0.029460111645633266,0.01716715830541008,0.00016692669647821602
biogpt_kernel,ops_HeLa_DMEM_kernel,0.19641704715209876,0.03212751125960568,0.018448889564643186,-0.008958810835422947
node2vec_kernel,node2vec_kernel,1.0000009536743164,0.9999999999999992,0.9999999999999993,1.0
node2vec_kernel,ops_A549_kernel,0.683820369843508,0.04985260412594639,0.035834528451942835,0.029529426048159942
node2vec_kernel,ops_HeLa_HPLM_kernel,0.18109009358641617,0.10285782332841409,0.09445425205890358,0.048197053105472724
node2vec_kernel,ops_HeLa_DMEM_kernel,0.21310492029688755,0.0889349013541698,0.07891892882517829,0.03881901495697461
ops_A549_kernel,ops_A549_kernel,1.0,1.0,0.9999999999999991,1.0
ops_A549_kernel,ops_HeLa_HPLM_kernel,0.15745292372590727,0.06363584786915771,0.053617883069855515,0.05023349180386891
ops_A549_kernel,ops_HeLa_DMEM_kernel,0.18287598045388972,0.04615637060387907,0.03490354109272957,0.03142503223743881
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM_kernel,0.9999999999999998,1.0000000000000004,0.9999999999999996,0.9999999999999998
ops_HeLa_HPLM_kernel,ops_HeLa_DMEM_kernel,0.42342299352509766,0.40531405045195207,0.39986136735577393,0.23533330091715796
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM_kernel,0.9999999999999996,1.0,1.000000000000001,1.0
