run,n_labeled,round,winner,Random_pearson,Core-Set_pearson,IterPert_pearson,oracle_pearson,iterpert_pearson
1,100,0,Random,0.1088393402366803,0.1059096468396954,0.1046870179935801,0.1088393402366803,0.1046870179935801
1,200,1,IterPert,0.2072788052840647,0.2121958298813849,0.250943998070829,0.250943998070829,0.250943998070829
1,300,2,IterPert,0.2158686527483852,0.1976898761986966,0.2590858000799021,0.2590858000799021,0.2590858000799021
1,400,3,IterPert,0.2103051487557924,0.2464478574645857,0.2672205447175775,0.2672205447175775,0.2672205447175775
1,500,4,Core-Set,0.2490575891275797,0.2768979798672256,0.2719507313612346,0.2768979798672256,0.2719507313612346
1,600,5,Core-Set,0.2672088375247384,0.2883780060395962,0.2850330809695465,0.2883780060395962,0.2850330809695465
2,100,0,Random,0.114838090696483,0.1114256641693383,0.1106937296329094,0.114838090696483,0.1106937296329094
2,200,1,IterPert,0.1914120066199596,0.1759958297816299,0.2436895090743624,0.2436895090743624,0.2436895090743624
2,300,2,IterPert,0.2235238093031166,0.22214909154135,0.2774809388198668,0.2774809388198668,0.2774809388198668
2,400,3,IterPert,0.206587809510465,0.2023397006406013,0.2932253540272341,0.2932253540272341,0.2932253540272341
2,500,4,IterPert,0.227981799379508,0.2138727130260456,0.2560191484732944,0.2560191484732944,0.2560191484732944
2,600,5,IterPert,0.2727306942160083,0.2482526928923832,0.3073434368238878,0.3073434368238878,0.3073434368238878
3,100,0,Random,0.1173259595357146,0.111199695763525,0.1115789726792262,0.1173259595357146,0.1115789726792262
3,200,1,IterPert,0.1772380539718856,0.1330899505873428,0.2101186874993296,0.2101186874993296,0.2101186874993296
3,300,2,IterPert,0.2344077191315239,0.185143415423538,0.2576545117024995,0.2576545117024995,0.2576545117024995
3,400,3,IterPert,0.2078302612990491,0.2271368309128336,0.2819498227497923,0.2819498227497923,0.2819498227497923
3,500,4,IterPert,0.265858234341908,0.2718799402021239,0.3004641334154201,0.3004641334154201,0.3004641334154201
3,600,5,IterPert,0.2809002880058224,0.2370175556910819,0.2851588465403418,0.2851588465403418,0.2851588465403418
4,100,0,Core-Set,0.1161146792698843,0.1181159858967826,0.1128619837320116,0.1181159858967826,0.1128619837320116
4,200,1,IterPert,0.1387347938827634,0.2132750577404859,0.2271500194314628,0.2271500194314628,0.2271500194314628
4,300,2,Core-Set,0.1810138936013438,0.2452411578616117,0.2446938121136877,0.2452411578616117,0.2446938121136877
4,400,3,Core-Set,0.1972927966725003,0.2671673626363941,0.256627433958872,0.2671673626363941,0.256627433958872
4,500,4,Random,0.2737769485353428,0.2699972114110683,0.2618476231773489,0.2737769485353428,0.2618476231773489
4,600,5,IterPert,0.2646815947279445,0.2609348893478391,0.2684755059024121,0.2684755059024121,0.2684755059024121
5,100,0,IterPert,0.1270706176770614,0.1279295959283713,0.1292032175561676,0.1292032175561676,0.1292032175561676
5,200,1,IterPert,0.17607067310044,0.1672431033033984,0.2755585588218638,0.2755585588218638,0.2755585588218638
5,300,2,IterPert,0.2330503371940074,0.2276548376119009,0.2677290990874556,0.2677290990874556,0.2677290990874556
5,400,3,IterPert,0.2185662690154121,0.1847739795453987,0.2889047769406684,0.2889047769406684,0.2889047769406684
5,500,4,IterPert,0.2494080225430504,0.2214665968908579,0.2990464121497406,0.2990464121497406,0.2990464121497406
5,600,5,IterPert,0.2366818879619659,0.1931664388130003,0.2956294460984451,0.2956294460984451,0.2956294460984451
6,100,0,IterPert,0.1295139194675124,0.1284743216048701,0.1319625853351885,0.1319625853351885,0.1319625853351885
6,200,1,IterPert,0.1732729925932649,0.1917656775684225,0.2242790663874519,0.2242790663874519,0.2242790663874519
6,300,2,IterPert,0.1937477741476169,0.2305164213015766,0.2551308034026172,0.2551308034026172,0.2551308034026172
6,400,3,Core-Set,0.189200076116817,0.2586447698634794,0.2396780512225892,0.2586447698634794,0.2396780512225892
6,500,4,Core-Set,0.2442194708766822,0.2888175066349299,0.2798461314142977,0.2888175066349299,0.2798461314142977
6,600,5,IterPert,0.2518633764942408,0.2642916760555515,0.2705009953614909,0.2705009953614909,0.2705009953614909
7,100,0,IterPert,0.0876975304385605,0.0906916090292149,0.0944624208932169,0.0944624208932169,0.0944624208932169
7,200,1,IterPert,0.1693492553709299,0.1839722824162123,0.2383862756872149,0.2383862756872149,0.2383862756872149
7,300,2,IterPert,0.2065279851196338,0.1856204572147198,0.2675253063380494,0.2675253063380494,0.2675253063380494
7,400,3,IterPert,0.2235955660339551,0.228712688079926,0.2488029813711164,0.2488029813711164,0.2488029813711164
7,500,4,IterPert,0.2366324200626946,0.2417050368874863,0.2879171549528683,0.2879171549528683,0.2879171549528683
7,600,5,IterPert,0.2591851410882818,0.2419858364851241,0.2860261071904433,0.2860261071904433,0.2860261071904433
8,100,0,Random,0.1091400353743218,0.1029305307230217,0.1063729679234483,0.1091400353743218,0.1063729679234483
8,200,1,IterPert,0.1817429494758311,0.2115957699173652,0.2401277590047782,0.2401277590047782,0.2401277590047782
8,300,2,IterPert,0.2286202325555758,0.2351036423813896,0.2790093814868306,0.2790093814868306,0.2790093814868306
8,400,3,IterPert,0.2280373858108369,0.2747718490489223,0.2905555775791857,0.2905555775791857,0.2905555775791857
8,500,4,IterPert,0.2501744517027206,0.2505598228597286,0.2754630487876754,0.2754630487876754,0.2754630487876754
8,600,5,IterPert,0.2522423781730633,0.2760101955674363,0.2902746878170248,0.2902746878170248,0.2902746878170248
9,100,0,Random,0.1344165688181041,0.1331261482146427,0.1322701750063985,0.1344165688181041,0.1322701750063985
9,200,1,IterPert,0.149032974440073,0.17920531260223,0.2170005531218485,0.2170005531218485,0.2170005531218485
9,300,2,IterPert,0.211202273942466,0.2056767054290169,0.2810699126153806,0.2810699126153806,0.2810699126153806
9,400,3,IterPert,0.2065861284336575,0.2553208045290765,0.2667543289762156,0.2667543289762156,0.2667543289762156
9,500,4,IterPert,0.2418374515849599,0.2350844944706343,0.2948008017000532,0.2948008017000532,0.2948008017000532
