prior,kernel,n_labeled_align,alignment,source
rpe1_kernel,rpe1,100,0.4512449204921722,sweep_logs
rpe1_kernel,rpe1,200,0.537181043624878,sweep_logs
rpe1_kernel,rpe1,300,0.5505707502365113,sweep_logs
rpe1_kernel,rpe1,400,0.5683196902275085,sweep_logs
rpe1_kernel,rpe1,500,0.579852283000946,sweep_logs
pops_kernel,pops,100,0.4233389146346522,sweep_logs
pops_kernel,pops,200,0.2255312782100205,sweep_logs
pops_kernel,pops,300,0.2587392444495182,sweep_logs
pops_kernel,pops,400,0.284995513429593,sweep_logs
pops_kernel,pops,500,0.2939019069156076,sweep_logs
esm_kernel,esm,100,0.3111215233802795,sweep_logs
esm_kernel,esm,200,0.3692997217178345,sweep_logs
esm_kernel,esm,300,0.3812556624412536,sweep_logs
esm_kernel,esm,400,0.3933193445205688,sweep_logs
esm_kernel,esm,500,0.4034405827522277,sweep_logs
biogpt_kernel,biogpt,100,0.3154321908950805,sweep_logs
biogpt_kernel,biogpt,200,0.3675954639911651,sweep_logs
biogpt_kernel,biogpt,300,0.3814559400081634,sweep_logs
biogpt_kernel,biogpt,400,0.3956352233886718,sweep_logs
biogpt_kernel,biogpt,500,0.4095535278320312,sweep_logs
node2vec_kernel,node2vec,100,0.4093255400657654,sweep_logs
node2vec_kernel,node2vec,200,0.4119729876518249,sweep_logs
node2vec_kernel,node2vec,300,0.4242945730686188,sweep_logs
node2vec_kernel,node2vec,400,0.4338167905807495,sweep_logs
node2vec_kernel,node2vec,500,0.441621869802475,sweep_logs
ops_A549_kernel,ops_A549,100,0.3541760868858002,sweep_logs
ops_A549_kernel,ops_A549,200,0.3282994952042849,sweep_logs
ops_A549_kernel,ops_A549,300,0.318479595192786,sweep_logs
ops_A549_kernel,ops_A549,400,0.3295493488290441,sweep_logs
ops_A549_kernel,ops_A549,500,0.3384638462133142,sweep_logs
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,100,0.2175823117259032,sweep_logs
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,200,0.1737082617782619,sweep_logs
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,300,0.1709314087581707,sweep_logs
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,400,0.1793501411646159,sweep_logs
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,500,0.1786592474302996,sweep_logs
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,100,0.2359566356828001,sweep_logs
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,200,0.1550971875820237,sweep_logs
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,300,0.1378982275373277,sweep_logs
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,400,0.1410962205545611,sweep_logs
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,500,0.1363844957017132,sweep_logs
rpe1_kernel,rpe1,-1,0.5346909761428833,full_kernel_vs_gold
pops_kernel,pops,-1,0.3422427017160987,full_kernel_vs_gold
esm_kernel,esm,-1,0.3393923044204712,full_kernel_vs_gold
biogpt_kernel,biogpt,-1,0.34757062792778015,full_kernel_vs_gold
node2vec_kernel,node2vec,-1,0.37647688388824463,full_kernel_vs_gold
ops_A549_kernel,ops_A549,-1,0.3043303893463416,full_kernel_vs_gold
ops_HeLa_HPLM_kernel,ops_HeLa_HPLM,-1,0.17340859415134766,full_kernel_vs_gold
ops_HeLa_DMEM_kernel,ops_HeLa_DMEM,-1,0.13703734315476665,full_kernel_vs_gold
