alignment_source,n_labeled_align,utility,spearman,pvalue,n_priors
full_kernel_vs_gold,-1,utility_nALC,-0.261904761904762,0.530922861565801,8
full_kernel_vs_gold,-1,utility_P600,-0.5714285714285715,0.1389599571607067,8
sweep_logs,100,utility_nALC,-0.023809523809523815,0.9553740118158807,8
sweep_logs,100,utility_P600,-0.3333333333333334,0.4197530864197531,8
sweep_logs,200,utility_nALC,-0.30952380952380953,0.4556448907375822,8
sweep_logs,200,utility_P600,-0.6190476190476191,0.1017330374542646,8
sweep_logs,300,utility_nALC,-0.28571428571428575,0.4927262450169573,8
sweep_logs,300,utility_P600,-0.5952380952380953,0.11952980613879259,8
sweep_logs,400,utility_nALC,-0.28571428571428575,0.4927262450169573,8
sweep_logs,400,utility_P600,-0.5952380952380953,0.11952980613879259,8
sweep_logs,500,utility_nALC,-0.28571428571428575,0.4927262450169573,8
sweep_logs,500,utility_P600,-0.5952380952380953,0.11952980613879259,8
