run,state_n,w_a,w_b,jaccard,n_intersect,n_union
1,100,0.0,0.25,0.6260162601626016,77,123
1,100,0.25,0.5,0.5384615384615384,70,130
1,100,0.5,0.75,0.45985401459854014,63,137
1,100,0.75,1.0,0.21951219512195122,36,164
1,100,0.0,1.0,0.03626943005181347,7,193
1,300,0.0,0.25,0.3422818791946309,51,149
1,300,0.25,0.5,0.45985401459854014,63,137
1,300,0.5,0.75,0.3888888888888889,56,144
1,300,0.75,1.0,0.26582278481012656,42,158
1,300,0.0,1.0,0.02564102564102564,5,195
1,500,0.0,0.25,0.2987012987012987,46,154
1,500,0.25,0.5,0.42857142857142855,60,140
1,500,0.5,0.75,0.3986013986013986,57,143
1,500,0.75,1.0,0.26582278481012656,42,158
1,500,0.0,1.0,0.02040816326530612,4,196
2,100,0.0,0.25,0.6,75,125
2,100,0.25,0.5,0.5748031496062992,73,127
2,100,0.5,0.75,0.48148148148148145,65,135
2,100,0.75,1.0,0.27388535031847133,43,157
2,100,0.0,1.0,0.015228426395939087,3,197
2,300,0.0,0.25,0.41843971631205673,59,141
2,300,0.25,0.5,0.45985401459854014,63,137
2,300,0.5,0.75,0.41843971631205673,59,141
2,300,0.75,1.0,0.25,40,160
2,300,0.0,1.0,0.041666666666666664,8,192
2,500,0.0,0.25,0.3157894736842105,48,152
2,500,0.25,0.5,0.47058823529411764,64,136
2,500,0.5,0.75,0.41843971631205673,59,141
2,500,0.75,1.0,0.22699386503067484,37,163
2,500,0.0,1.0,0.04712041884816754,9,191
3,100,0.0,0.25,0.6260162601626016,77,123
3,100,0.25,0.5,0.639344262295082,78,122
3,100,0.5,0.75,0.5384615384615384,70,130
3,100,0.75,1.0,0.21951219512195122,36,164
3,100,0.0,1.0,0.030927835051546393,6,194
3,300,0.0,0.25,0.4084507042253521,58,142
3,300,0.25,0.5,0.5037593984962406,67,133
3,300,0.5,0.75,0.3986013986013986,57,143
3,300,0.75,1.0,0.21951219512195122,36,164
3,300,0.0,1.0,0.02564102564102564,5,195
3,500,0.0,0.25,0.26582278481012656,42,158
3,500,0.25,0.5,0.3698630136986301,54,146
3,500,0.5,0.75,0.3422818791946309,51,149
3,500,0.75,1.0,0.2578616352201258,41,159
3,500,0.0,1.0,0.030927835051546393,6,194
