run,state_n,stage,w,P_before,P_after,delta_pearson,P_before_eval_after_load,n_selected,n_overlap_labeled,training_seed,training_run,checkpoint_path,source,complete
1,100,early,0.0,0.1034271140699563,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n100/gears_checkpoint,,False
1,100,early,0.25,0.1034271140699563,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n100/gears_checkpoint,,False
1,100,early,0.5,0.1034271140699563,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n100/gears_checkpoint,,False
1,100,early,0.75,0.1034271140699563,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n100/gears_checkpoint,,False
1,100,early,1.0,0.1034271140699563,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n100/gears_checkpoint,,False
1,300,middle,0.0,0.26085695925545577,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n300/gears_checkpoint,,False
1,300,middle,0.25,0.26085695925545577,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n300/gears_checkpoint,,False
1,300,middle,0.5,0.26085695925545577,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n300/gears_checkpoint,,False
1,300,middle,0.75,0.26085695925545577,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n300/gears_checkpoint,,False
1,300,middle,1.0,0.26085695925545577,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n300/gears_checkpoint,,False
1,500,late,0.0,0.29161252815200006,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n500/gears_checkpoint,,False
1,500,late,0.25,0.29161252815200006,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n500/gears_checkpoint,,False
1,500,late,0.5,0.29161252815200006,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n500/gears_checkpoint,,False
1,500,late,0.75,0.29161252815200006,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n500/gears_checkpoint,,False
1,500,late,1.0,0.29161252815200006,,,,,,1,1,/data/zy/iterpert/common_states/paper_run1/n500/gears_checkpoint,,False
2,100,early,0.0,0.11842360705487635,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n100/gears_checkpoint,,False
2,100,early,0.25,0.11842360705487635,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n100/gears_checkpoint,,False
2,100,early,0.5,0.11842360705487635,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n100/gears_checkpoint,,False
2,100,early,0.75,0.11842360705487635,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n100/gears_checkpoint,,False
2,100,early,1.0,0.11842360705487635,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n100/gears_checkpoint,,False
2,300,middle,0.0,0.2539390984716627,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n300/gears_checkpoint,,False
2,300,middle,0.25,0.2539390984716627,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n300/gears_checkpoint,,False
2,300,middle,0.5,0.2539390984716627,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n300/gears_checkpoint,,False
2,300,middle,0.75,0.2539390984716627,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n300/gears_checkpoint,,False
2,300,middle,1.0,0.2539390984716627,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n300/gears_checkpoint,,False
2,500,late,0.0,0.2803237733789004,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n500/gears_checkpoint,,False
2,500,late,0.25,0.2803237733789004,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n500/gears_checkpoint,,False
2,500,late,0.5,0.2803237733789004,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n500/gears_checkpoint,,False
2,500,late,0.75,0.2803237733789004,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n500/gears_checkpoint,,False
2,500,late,1.0,0.2803237733789004,,,,,,1,2,/data/zy/iterpert/common_states/paper_run2/n500/gears_checkpoint,,False
3,100,early,0.0,0.10773587566125871,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n100/gears_checkpoint,,False
3,100,early,0.25,0.10773587566125871,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n100/gears_checkpoint,,False
3,100,early,0.5,0.10773587566125871,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n100/gears_checkpoint,,False
3,100,early,0.75,0.10773587566125871,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n100/gears_checkpoint,,False
3,100,early,1.0,0.10773587566125871,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n100/gears_checkpoint,,False
3,300,middle,0.0,0.2471915381344115,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n300/gears_checkpoint,,False
3,300,middle,0.25,0.2471915381344115,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n300/gears_checkpoint,,False
3,300,middle,0.5,0.2471915381344115,,,,,,1,3,/data/zy/iterpert/common_states/paper_run3/n300/gears_checkpoint,,False
