run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,source
1,1,0,100,0.1046870179935801,0.4354166666666666,0.0108870035037398,0.1165552735328674,0.1641974090374226,0.0025489125265109,0.0891350343047937,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.250943998070829,0.3940104166666667,0.0094102574512362,0.0953925475478172,0.3122170074400345,0.0016828877625424,0.0590812988765719,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2590858000799021,0.3804687500000001,0.0090127158910036,0.0914509519934654,0.3255954592866596,0.0016198939783595,0.0556579337794876,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2672205447175775,0.3559895833333333,0.0088639138266444,0.0850591287016868,0.3516060495831716,0.00148736689962,0.0500802093218074,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2719507313612346,0.3447916666666666,0.0086724953725934,0.0858534574508667,0.3387313928348451,0.0014640462528125,0.0499803399672297,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2850330809695465,0.3411458333333333,0.008357785642147,0.0833313539624214,0.356759079083492,0.0013626496665868,0.0465522504448623,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1106937296329094,,,,,,,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2436895090743624,,,,,,,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2774809388198668,,,,,,,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2932253540272341,,,,,,,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
