method,run,nALC,pearson_600
early_model,1,0.2373264643177206,0.2645080510382971
early_model,2,0.2592265485889499,0.2847830886627724
early_model,3,0.2559294326142263,0.2790566032257129
early_model,4,0.2452088976462387,0.2870386709391168
early_model,5,0.2527521568285572,0.2896622244884885
early_prior,1,0.2546292209785707,0.2840877137185749
early_prior,2,0.25310802847816866,0.2699590871730639
early_prior,3,0.23466296778773307,0.2892837257301386
early_prior,4,0.23698358916883291,0.2557811502609506
early_prior,5,0.24444697373627328,0.2724133035452204
fixed_0.5,1,0.2449358653244476,0.2825151750691961
fixed_0.5,2,0.249498179405776,0.2867698262347325
fixed_0.5,3,0.23740834074471698,0.276619490608355
fixed_0.5,4,0.2499030660929282,0.2936775474937514
fixed_0.5,5,0.26022589550907665,0.3032389814974276
fixed_0.75,1,0.25355361466940335,0.2899131691533385
fixed_0.75,2,0.254066881807992,0.2729950895969618
fixed_0.75,3,0.2457630567731577,0.2741442070542317
fixed_0.75,4,0.24255741365418484,0.2929668633847098
fixed_0.75,5,0.2466303273740421,0.269581797858173
paper,1,0.2488122247422213,0.2850330809695465
paper,2,0.25588670672463126,0.3073434368238878
paper,3,0.2497112129953651,0.2851588465403418
paper,4,0.23619752669971666,0.2684755059024121
paper,5,0.26873103576540697,0.2956294460984451
