n_labeled,model_weight,pearson_delta
100,0.0,0.1073597632113832
100,0.25,0.1027643990214866
100,0.5,0.1067043988488826
100,0.75,0.1096241060527546
100,1.0,0.1075679603838316
200,0.0,0.231632886411017
200,0.25,0.2319141516535185
200,0.5,0.2323134613911483
200,0.75,0.2200402268099909
200,1.0,0.1756994981477211
300,0.0,0.2691003267496921
300,0.25,0.2694923654845162
300,0.5,0.274638947829511
300,0.75,0.2577726397145288
300,1.0,0.2292085457622597
400,0.0,0.255627858876099
400,0.25,0.2533219378032146
400,0.5,0.2594388868098026
400,0.75,0.3029676448736672
400,1.0,0.2096023219947804
500,0.0,0.2687426858887569
500,0.25,0.2706615437027096
500,0.5,0.2636782436327369
500,0.75,0.2872189243457834
500,1.0,0.2409299843884943
600,0.0,0.2848871811201192
600,0.25,0.2729052322612539
600,0.5,0.2825151750691961
600,0.75,0.2899131691533385
600,1.0,0.275575121031144
