run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,lambda,setting,source
1,1,0,100,0.1046870179935801,0.4354166666666666,0.0108870035037398,0.1165552735328674,0.1641974090374226,0.0025489125265109,0.0891350343047937,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.250943998070829,0.3940104166666667,0.0094102574512362,0.0953925475478172,0.3122170074400345,0.0016828877625424,0.0590812988765719,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2590858000799021,0.3804687500000001,0.0090127158910036,0.0914509519934654,0.3255954592866596,0.0016198939783595,0.0556579337794876,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2672205447175775,0.3559895833333333,0.0088639138266444,0.0850591287016868,0.3516060495831716,0.00148736689962,0.0500802093218074,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2719507313612346,0.3447916666666666,0.0086724953725934,0.0858534574508667,0.3387313928348451,0.0014640462528125,0.0499803399672297,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2850330809695465,0.3411458333333333,0.008357785642147,0.0833313539624214,0.356759079083492,0.0013626496665868,0.0465522504448623,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1106937296329094,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2436895090743624,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2774809388198668,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2932253540272341,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.2560191484732944,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.3073434368238878,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1115789726792262,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2101186874993296,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2576545117024995,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2819498227497923,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.3004641334154201,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2851588465403418,,,,,,,full_clean,0.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1109179518199812,0.4322916666666667,0.010834171436727,0.1156808361411094,0.177747361170711,0.0025170763361141,0.0877476035024301,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2515292682199789,0.378125,0.0094085708260536,0.0937419459223747,0.3624951378737395,0.0019957554565044,0.0720652993958538,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2892702764713734,0.35859375,0.0086383810266852,0.0858005359768867,0.3835184622372494,0.0014541219748207,0.0513112384434862,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2706578828198904,0.3518229166666667,0.0090559041127562,0.0911805406212806,0.4009791871527616,0.0018119485676337,0.063932002722989,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2714696943157079,0.32421875,0.0084691168740391,0.0855001583695411,0.3618831942013183,0.0014893702016561,0.0519206899870975,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2892740423805016,0.31953125,0.0081814303994178,0.0821359828114509,0.4046099492729677,0.0013721262283749,0.0479771758826245,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1155213925910118,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2334633209871012,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2861944269235182,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2801212084729338,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.2902179626932933,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.2757859403851949,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1161661323252844,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2711598637204094,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2712253715763801,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2463753181171593,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.2870203808545006,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2888648891191573,,,,,,,two_source_clean,0.0,two_source,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_single_rpe1_kernel_run3_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1075679603838316,0.4276041666666666,0.0108521245419979,0.115764282643795,0.1773741294941802,0.0025068075980865,0.0874587499597206,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.1756994981477211,0.3895833333333334,0.0096480287611484,0.1080413237214088,0.2718180262617017,0.0022400967401432,0.0809378263814323,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2292085457622597,0.3598958333333333,0.0091054029762744,0.0991077423095703,0.3011078731874603,0.0020511885412755,0.0758827257703766,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2096023219947804,0.3434895833333333,0.0089688003063201,0.0956699550151825,0.3073961031136732,0.0020157115911691,0.0715633642166115,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2409299843884943,0.34296875,0.0087443320080637,0.094888299703598,0.3329813169766269,0.0019470068419032,0.0690750226780892,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.275575121031144,0.33671875,0.0086362110450863,0.0943252220749855,0.378978508436023,0.0019310257044853,0.0694952588005738,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1152317168333741,0.44765625,0.0107044326141476,0.1166631281375885,0.1497792511197646,0.0024068344826422,0.0847780305958925,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.1790153081168254,0.3942708333333333,0.0096990838646888,0.1083638072013855,0.2519767979579225,0.0021953736104017,0.0788575279193234,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2079120293095121,0.3752604166666666,0.0095560969784855,0.1013197302818298,0.2896848223020679,0.0021233884140189,0.0736786142443937,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2483546291542292,0.3432291666666667,0.0089486120268702,0.0978987142443656,0.3498670349822356,0.0020112022797378,0.0732534708251175,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.2632411749810177,0.3322916666666666,0.0087432349100708,0.0954713448882103,0.3673568845202999,0.0019357376313443,0.0710321793349218,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2647927903250545,0.3276041666666666,0.008575958199799,0.0922800377011299,0.3500549184692261,0.0019389290151569,0.0712467252911968,model_only,,model_only,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run3_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1021844318086255,0.43203125,0.0109016671776771,0.1163461804389953,0.1667337097772026,0.0025381308147528,0.0883429155760192,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.252963711730851,0.4098958333333333,0.010008729994297,0.0987514480948448,0.325267399331518,0.0019546344712143,0.0689605314407041,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2825926820281628,0.3614583333333334,0.008663697168231,0.0870766565203666,0.3852387083930638,0.0015066764841273,0.0512763389362893,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.251783344928869,0.35078125,0.0086018275469541,0.0889854207634925,0.3480843410151468,0.0014854852663896,0.0509383857703445,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2611298787735792,0.35546875,0.0083623481914401,0.0869404450058937,0.317815240220806,0.0013912735371898,0.0485044297984738,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2805625055966151,0.3268229166666667,0.0084390211850404,0.0873093977570533,0.3811164230089269,0.0014281808093619,0.0501799552364597,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1022146055814186,0.4583333333333333,0.010475255548954,0.1158032938838005,0.1549180314847431,0.002370515948404,0.0865661987012572,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2370064933136996,0.3984375,0.0091772507876157,0.0973782911896705,0.2839565983264636,0.0017185239123258,0.0608845161949526,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2625486186223893,0.3783854166666667,0.0091394484043121,0.0973747968673706,0.3547617852325473,0.0019992784211596,0.0720235270328885,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2750692810638993,0.3572916666666666,0.0085940547287464,0.0851698592305183,0.366021133017758,0.001466461975627,0.0484455156612966,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.3000249385734612,0.3419270833333334,0.0082498351112008,0.084321916103363,0.3760936229532388,0.0014009400620658,0.0479118047249054,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.2988373378998132,0.3088541666666667,0.0081327566877007,0.0804301276803016,0.4126802259678221,0.0013292557591836,0.0454193229458875,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.109218423649211,0.4533854166666666,0.0107699781656265,0.1174732521176338,0.1352078663571788,0.0024339056084669,0.085799944297499,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2303058518374059,0.3888020833333334,0.0090538812801241,0.0938904881477356,0.2810597751596883,0.0015806142846073,0.0538531142528275,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2468194533962576,0.39375,0.0089595485478639,0.0920813381671905,0.2786597902303269,0.0016200278765803,0.0557384733291049,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2502744406268676,0.3638020833333333,0.0090621998533606,0.0956523045897483,0.3199542367311033,0.0018884974245738,0.0672853745571956,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.2841356540166597,0.3442708333333333,0.0084029510617256,0.0854836329817771,0.3739783473105292,0.0014378208697623,0.0488795790621983,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2736170115064232,0.3390625,0.0087188305333256,0.0891176983714103,0.361944991569392,0.001589623792109,0.0541042923980057,full_l0.5,0.5,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1106890965235659,0.4299479166666666,0.0108164520934224,0.115751601755619,0.1745777339772857,0.0024992047058331,0.0875498956549411,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2399935954250178,0.3890624999999999,0.0095403473824262,0.1036528572440147,0.3101216784222609,0.0020813963652569,0.0759403756653531,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.239743558542996,0.3739583333333333,0.0087465969845652,0.0932745561003685,0.3045170160502276,0.0015856057344984,0.0553500826178302,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2166708318771,0.3484375,0.0087862154468894,0.0934865698218345,0.3103299219824247,0.0015867006871509,0.055587289678624,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2751247528813942,0.3622395833333333,0.0085935890674591,0.0861839428544044,0.3336658002668367,0.0016066982059079,0.05020506015447,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2560402381105183,0.3346354166666667,0.0083312122151255,0.0847732052206993,0.3466347710831792,0.0013489224846756,0.0456664150096912,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1103710328412852,0.4520833333333333,0.0104245021939277,0.1155842170119285,0.163867580744625,0.002369589868865,0.0867539710213956,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2279527804204636,0.3911458333333333,0.0090460069477558,0.0985275134444236,0.2807955123902852,0.0016693269368794,0.0591784408985404,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2230108174631201,0.371875,0.0087117850780487,0.0935446321964263,0.287057896749736,0.001590178745236,0.0563175223172644,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2501718948889293,0.3255208333333333,0.008709349669516,0.088735245168209,0.3264739650691735,0.0015622248056388,0.0520910571863775,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.2394788668361768,0.3458333333333334,0.008436813019216,0.0893251523375511,0.3023115588101979,0.0014498731269292,0.0512982897171544,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.2722319807962514,0.3291666666666666,0.0080577312037348,0.0841153189539909,0.3592972256907344,0.0013212389594458,0.0455882083098003,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1164954321492989,0.4572916666666666,0.0107188336551189,0.1165175661444664,0.1405479302079007,0.0023919258581202,0.0839090346190459,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2222508071957519,0.3981770833333333,0.0092893503606319,0.1036850214004516,0.2715980495606515,0.0019920170300659,0.0727233200323098,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2401106849204005,0.4052083333333333,0.0088513968512415,0.095272459089756,0.266115536300167,0.0016455989789974,0.0588377641298393,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.241081258755808,0.3346354166666667,0.008645748719573,0.0917672887444496,0.3238511104965452,0.0015073218822847,0.0529940532081582,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.2666289688270836,0.3216145833333333,0.0084741534665226,0.0860661640763282,0.3651755647345269,0.0015191722607705,0.0497948318030921,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2752767893907101,0.3205729166666666,0.0083861956372857,0.0865601673722267,0.387941451731263,0.0013779888677745,0.0472320436205639,full_l1,1.0,full,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run3_Core-Set_diff_effect_metrics.csv
