setting,lambda,run,round,n_labeled_before,n_labeled_after,rpe1_alignment,jaccard_vs_clean,P_after,P_clean_after,delta_P_vs_clean
two_source,0.5,1,1,100,200,0.3371804654598236,0.2578616352201258,0.2128446191887078,0.2515292682199789,0.038684649031271084
two_source,0.5,1,2,200,300,0.4417620897293091,0.11731843575418995,0.2490367229436504,0.2892702764713734,0.04023355352772298
two_source,0.5,1,3,300,400,0.467419296503067,0.08695652173913043,0.2773066280926901,0.2706578828198904,-0.006648745272799683
two_source,0.5,1,4,400,500,0.49031612277030945,0.0582010582010582,0.2902074139221984,0.2714696943157079,-0.01873771960649051
two_source,0.5,1,5,500,600,0.4820018410682678,0.03626943005181347,0.3238770047965936,0.2892740423805016,-0.03460296241609201
two_source,0.5,2,1,100,200,0.3371804654598236,,0.2387819906869236,0.2334633209871012,-0.005318669699822393
two_source,0.5,2,2,200,300,0.4230252802371979,,0.2647788288847619,0.2861944269235182,0.02141559803875631
two_source,0.5,2,3,300,400,0.46684956550598145,,0.2617669904857732,0.2801212084729338,0.018354217987160637
two_source,0.5,2,4,400,500,0.4851675033569336,,0.2826921112762863,0.2902179626932933,0.007525851417007012
two_source,0.5,2,5,500,600,0.4903229773044586,,0.2998102545446163,0.2757859403851949,-0.02402431415942141
two_source,0.5,3,1,100,200,0.3371804654598236,,0.2271272780274859,0.2711598637204094,0.04403258569292351
two_source,0.5,3,2,200,300,0.4547816812992096,,0.236616329465523,0.2712253715763801,0.03460904211085711
two_source,0.5,3,3,300,400,0.4618176519870758,,0.2797843700734474,0.2463753181171593,-0.03340905195628813
two_source,0.5,3,4,400,500,0.48748868703842163,,0.3027417105133815,0.2870203808545006,-0.0157213296588809
two_source,0.5,3,5,500,600,0.4922625720500946,,0.2974133243964922,0.2888648891191573,-0.008548435277334898
two_source,1.0,1,1,100,200,0.13576294481754303,0.05263157894736842,0.1909111285588212,0.2515292682199789,0.0606181396611577
two_source,1.0,1,2,200,300,0.22670090198516846,0.041666666666666664,0.2564186463053127,0.2892702764713734,0.032851630166060686
two_source,1.0,1,3,300,400,0.27691686153411865,0.041666666666666664,0.26340628656514,0.2706578828198904,0.007251596254750414
two_source,1.0,1,4,400,500,0.28590643405914307,0.03626943005181347,0.2711713391892075,0.2714696943157079,0.00029835512650039364
two_source,1.0,1,5,500,600,0.28209561109542847,0.030927835051546393,0.2692679841848122,0.2892740423805016,0.020006058195689402
two_source,1.0,2,1,100,200,0.13576294481754303,,0.2199612917684818,0.2334633209871012,0.013502029218619399
two_source,1.0,2,2,200,300,0.23109203577041626,,0.2091407780026307,0.2861944269235182,0.07705364892088751
two_source,1.0,2,3,300,400,0.27536526322364807,,0.2793855097271159,0.2801212084729338,0.0007356987458179143
two_source,1.0,2,4,400,500,0.2717866003513336,,0.2420548337975651,0.2902179626932933,0.04816312889572821
two_source,1.0,2,5,500,600,0.28163793683052063,,0.2586790653463346,0.2757859403851949,0.01710687503886027
two_source,1.0,3,1,100,200,0.13576294481754303,,0.224325793649659,0.2711598637204094,0.04683407007075041
two_source,1.0,3,2,200,300,0.2317466288805008,,0.1965063068286954,0.2712253715763801,0.0747190647476847
two_source,1.0,3,3,300,400,0.27130013704299927,,0.2555568689364169,0.2463753181171593,-0.009181550819257589
two_source,1.0,3,4,400,500,0.27303484082221985,,0.2703398629585089,0.2870203808545006,0.016680517895991676
two_source,1.0,3,5,500,600,0.2663678228855133,,0.2728551256846373,0.2888648891191573,0.016009763434519986
full,0.5,1,1,100,200,0.3371804654598236,0.6129032258064516,0.252963711730851,0.250943998070829,-0.0020197136600220156
full,0.5,1,2,200,300,0.4260452091693878,0.2903225806451613,0.2825926820281628,0.2590858000799021,-0.02350688194826067
full,0.5,1,3,300,400,0.4411425292491913,0.1695906432748538,0.251783344928869,0.2672205447175775,0.0154371997887085
full,0.5,1,4,400,500,0.44237953424453735,0.17647058823529413,0.2611298787735792,0.2719507313612346,0.010820852587655416
full,0.5,1,5,500,600,0.4505920708179474,0.12359550561797752,0.2805625055966151,0.2850330809695465,0.004470575372931385
full,0.5,2,1,100,200,0.3371804654598236,,0.2370064933136996,0.2436895090743624,0.006683015760662797
full,0.5,2,2,200,300,0.428609699010849,,0.2625486186223893,0.2774809388198668,0.014932320197477478
full,0.5,2,3,300,400,0.4373510181903839,,0.2750692810638993,0.2932253540272341,0.018156072963334824
full,0.5,2,4,400,500,0.4442848265171051,,0.3000249385734612,0.2560191484732944,-0.04400579010016681
full,0.5,2,5,500,600,0.44533485174179077,,0.2988373378998132,0.3073434368238878,0.008506098924074612
full,0.5,3,1,100,200,0.3371804654598236,,0.2303058518374059,0.2101186874993296,-0.020187164338076297
full,0.5,3,2,200,300,0.42055806517601013,,0.2468194533962576,0.2576545117024995,0.010835058306241874
full,0.5,3,3,300,400,0.4411069452762604,,0.2502744406268676,0.2819498227497923,0.0316753821229247
full,0.5,3,4,400,500,0.4558541774749756,,0.2841356540166597,0.3004641334154201,0.01632847939876042
full,0.5,3,5,500,600,0.45453810691833496,,0.2736170115064232,0.2851588465403418,0.01154183503391859
full,1.0,1,1,100,200,0.13576294481754303,0.43884892086330934,0.2399935954250178,0.250943998070829,0.010950402645811208
full,1.0,1,2,200,300,0.18731378018856049,0.1695906432748538,0.239743558542996,0.2590858000799021,0.019342241536906113
full,1.0,1,3,300,400,0.1896442323923111,0.14285714285714285,0.2166708318771,0.2672205447175775,0.05054971284047749
full,1.0,1,4,400,500,0.1908981204032898,0.1111111111111111,0.2751247528813942,0.2719507313612346,-0.003174021520159609
full,1.0,1,5,500,600,0.19728663563728333,0.13636363636363635,0.2560402381105183,0.2850330809695465,0.0289928428590282
full,1.0,2,1,100,200,0.13576294481754303,,0.2279527804204636,0.2436895090743624,0.0157367286538988
full,1.0,2,2,200,300,0.18890731036663055,,0.2230108174631201,0.2774809388198668,0.0544701213567467
full,1.0,2,3,300,400,0.19229067862033844,,0.2501718948889293,0.2932253540272341,0.04305345913830477
full,1.0,2,4,400,500,0.1998378187417984,,0.2394788668361768,0.2560191484732944,0.01654028163711757
full,1.0,2,5,500,600,0.2041253298521042,,0.2722319807962514,0.3073434368238878,0.035111456027636434
full,1.0,3,1,100,200,0.13576294481754303,,0.2222508071957519,0.2101186874993296,-0.012132119696422305
full,1.0,3,2,200,300,0.18260034918785095,,0.2401106849204005,0.2576545117024995,0.01754382678209898
full,1.0,3,3,300,400,0.1831720918416977,,0.241081258755808,0.2819498227497923,0.04086856399398431
full,1.0,3,4,400,500,0.20085321366786957,,0.2666289688270836,0.3004641334154201,0.03383516458833652
full,1.0,3,5,500,600,0.20542770624160767,,0.2752767893907101,0.2851588465403418,0.009882057149631696
