run,round,setting,λ,RPE1 alignment,"J(clean, corrupt)",ΔPearson damage
1,1,two_source,0.5,0.3371804654598236,0.2578616352201258,0.038684649031271084
1,2,two_source,0.5,0.4417620897293091,0.11731843575418995,0.04023355352772298
1,3,two_source,0.5,0.467419296503067,0.08695652173913043,-0.006648745272799683
1,4,two_source,0.5,0.49031612277030945,0.0582010582010582,-0.01873771960649051
1,5,two_source,0.5,0.4820018410682678,0.03626943005181347,-0.03460296241609201
2,1,two_source,0.5,0.3371804654598236,,-0.005318669699822393
2,2,two_source,0.5,0.4230252802371979,,0.02141559803875631
2,3,two_source,0.5,0.46684956550598145,,0.018354217987160637
2,4,two_source,0.5,0.4851675033569336,,0.007525851417007012
2,5,two_source,0.5,0.4903229773044586,,-0.02402431415942141
3,1,two_source,0.5,0.3371804654598236,,0.04403258569292351
3,2,two_source,0.5,0.4547816812992096,,0.03460904211085711
3,3,two_source,0.5,0.4618176519870758,,-0.03340905195628813
3,4,two_source,0.5,0.48748868703842163,,-0.0157213296588809
3,5,two_source,0.5,0.4922625720500946,,-0.008548435277334898
1,1,two_source,1.0,0.13576294481754303,0.05263157894736842,0.0606181396611577
1,2,two_source,1.0,0.22670090198516846,0.041666666666666664,0.032851630166060686
1,3,two_source,1.0,0.27691686153411865,0.041666666666666664,0.007251596254750414
1,4,two_source,1.0,0.28590643405914307,0.03626943005181347,0.00029835512650039364
1,5,two_source,1.0,0.28209561109542847,0.030927835051546393,0.020006058195689402
2,1,two_source,1.0,0.13576294481754303,,0.013502029218619399
2,2,two_source,1.0,0.23109203577041626,,0.07705364892088751
2,3,two_source,1.0,0.27536526322364807,,0.0007356987458179143
2,4,two_source,1.0,0.2717866003513336,,0.04816312889572821
2,5,two_source,1.0,0.28163793683052063,,0.01710687503886027
3,1,two_source,1.0,0.13576294481754303,,0.04683407007075041
3,2,two_source,1.0,0.2317466288805008,,0.0747190647476847
3,3,two_source,1.0,0.27130013704299927,,-0.009181550819257589
3,4,two_source,1.0,0.27303484082221985,,0.016680517895991676
3,5,two_source,1.0,0.2663678228855133,,0.016009763434519986
1,1,full,0.5,0.3371804654598236,0.6129032258064516,-0.0020197136600220156
1,2,full,0.5,0.4260452091693878,0.2903225806451613,-0.02350688194826067
1,3,full,0.5,0.4411425292491913,0.1695906432748538,0.0154371997887085
1,4,full,0.5,0.44237953424453735,0.17647058823529413,0.010820852587655416
1,5,full,0.5,0.4505920708179474,0.12359550561797752,0.004470575372931385
2,1,full,0.5,0.3371804654598236,,0.006683015760662797
2,2,full,0.5,0.428609699010849,,0.014932320197477478
2,3,full,0.5,0.4373510181903839,,0.018156072963334824
2,4,full,0.5,0.4442848265171051,,-0.04400579010016681
2,5,full,0.5,0.44533485174179077,,0.008506098924074612
3,1,full,0.5,0.3371804654598236,,-0.020187164338076297
3,2,full,0.5,0.42055806517601013,,0.010835058306241874
3,3,full,0.5,0.4411069452762604,,0.0316753821229247
3,4,full,0.5,0.4558541774749756,,0.01632847939876042
3,5,full,0.5,0.45453810691833496,,0.01154183503391859
1,1,full,1.0,0.13576294481754303,0.43884892086330934,0.010950402645811208
1,2,full,1.0,0.18731378018856049,0.1695906432748538,0.019342241536906113
1,3,full,1.0,0.1896442323923111,0.14285714285714285,0.05054971284047749
1,4,full,1.0,0.1908981204032898,0.1111111111111111,-0.003174021520159609
1,5,full,1.0,0.19728663563728333,0.13636363636363635,0.0289928428590282
2,1,full,1.0,0.13576294481754303,,0.0157367286538988
2,2,full,1.0,0.18890731036663055,,0.0544701213567467
2,3,full,1.0,0.19229067862033844,,0.04305345913830477
2,4,full,1.0,0.1998378187417984,,0.01654028163711757
2,5,full,1.0,0.2041253298521042,,0.035111456027636434
3,1,full,1.0,0.13576294481754303,,-0.012132119696422305
3,2,full,1.0,0.18260034918785095,,0.01754382678209898
3,3,full,1.0,0.1831720918416977,,0.04086856399398431
3,4,full,1.0,0.20085321366786957,,0.03383516458833652
3,5,full,1.0,0.20542770624160767,,0.009882057149631696
