run,round,n_labeled,perm_seed,lambda,signal,z
1,1,100,20260826,0.0,obs,0.45124494210971544
1,1,100,20260826,0.0,pm,0.39637272085091446
1,1,100,20260826,0.0,cons,0.4031854667512124
1,1,100,20260826,0.0,loc,0.237
1,1,100,20260826,0.0,cons_full,0.4247763974251374
1,1,100,20260826,0.5,obs,0.33718051050588377
1,1,100,20260826,0.5,pm,0.2950456403635653
1,1,100,20260826,0.5,cons,0.5028891086275525
1,1,100,20260826,0.5,loc,0.188
1,1,100,20260826,0.5,cons_full,0.4876488217304923
1,1,100,20260826,1.0,obs,0.13576294508941464
1,1,100,20260826,1.0,pm,0.11759059712468158
1,1,100,20260826,1.0,cons,0.4172705556585074
1,1,100,20260826,1.0,loc,0.07
1,1,100,20260826,1.0,cons_full,0.37825947758197226
1,1,100,20260827,0.0,obs,0.45124494210971544
1,1,100,20260827,0.0,pm,0.39637272085091446
1,1,100,20260827,0.0,cons,0.4031854667512124
1,1,100,20260827,0.0,loc,0.237
1,1,100,20260827,0.0,cons_full,0.4247763974251374
1,1,100,20260827,0.5,obs,0.3768788852749481
1,1,100,20260827,0.5,pm,0.3115704618228066
1,1,100,20260827,0.5,cons,0.49628800054450867
1,1,100,20260827,0.5,loc,0.171
1,1,100,20260827,0.5,cons_full,0.48840922606165904
1,1,100,20260827,1.0,obs,0.19631204250479092
1,1,100,20260827,1.0,pm,0.14294338417969898
1,1,100,20260827,1.0,cons,0.41700237929474504
1,1,100,20260827,1.0,loc,0.064
1,1,100,20260827,1.0,cons_full,0.3820972989531789
1,1,100,20260828,0.0,obs,0.45124494210971544
1,1,100,20260828,0.0,pm,0.39637272085091446
1,1,100,20260828,0.0,cons,0.4031854667512124
1,1,100,20260828,0.0,loc,0.237
1,1,100,20260828,0.0,cons_full,0.4247763974251374
1,1,100,20260828,0.5,obs,0.3897357555499624
1,1,100,20260828,0.5,pm,0.32187653316950354
1,1,100,20260828,0.5,cons,0.4866246329647415
1,1,100,20260828,0.5,loc,0.18600000000000005
1,1,100,20260828,0.5,cons_full,0.4862838912347319
1,1,100,20260828,1.0,obs,0.18285145355987195
1,1,100,20260828,1.0,pm,0.12900635407708938
1,1,100,20260828,1.0,cons,0.37712707915832416
1,1,100,20260828,1.0,loc,0.08299999999999999
1,1,100,20260828,1.0,cons_full,0.3757072454817988
1,1,100,20260829,0.0,obs,0.45124494210971544
1,1,100,20260829,0.0,pm,0.39637272085091446
1,1,100,20260829,0.0,cons,0.4031854667512124
1,1,100,20260829,0.0,loc,0.237
1,1,100,20260829,0.0,cons_full,0.4247763974251374
1,1,100,20260829,0.5,obs,0.3610998866547427
1,1,100,20260829,0.5,pm,0.3147817766887783
1,1,100,20260829,0.5,cons,0.4893738822917823
1,1,100,20260829,0.5,loc,0.20099999999999998
1,1,100,20260829,0.5,cons_full,0.48676591304599104
1,1,100,20260829,1.0,obs,0.15110824455431987
1,1,100,20260829,1.0,pm,0.12907039341103824
1,1,100,20260829,1.0,cons,0.38866381685672874
1,1,100,20260829,1.0,loc,0.10699999999999997
1,1,100,20260829,1.0,cons_full,0.3809076724890633
1,1,100,20260830,0.0,obs,0.45124494210971544
1,1,100,20260830,0.0,pm,0.39637272085091446
1,1,100,20260830,0.0,cons,0.4031854667512124
1,1,100,20260830,0.0,loc,0.237
1,1,100,20260830,0.0,cons_full,0.4247763974251374
1,1,100,20260830,0.5,obs,0.3373420607440491
1,1,100,20260830,0.5,pm,0.28784694041476494
1,1,100,20260830,0.5,cons,0.4926137216448892
1,1,100,20260830,0.5,loc,0.16400000000000003
1,1,100,20260830,0.5,cons_full,0.48657164465559405
1,1,100,20260830,1.0,obs,0.14999058004302854
1,1,100,20260830,1.0,pm,0.11968692791612542
1,1,100,20260830,1.0,cons,0.40623895417081474
1,1,100,20260830,1.0,loc,0.052000000000000005
1,1,100,20260830,1.0,cons_full,0.38149618633728666
1,2,200,20260826,0.0,obs,0.5325103149086212
1,2,200,20260826,0.0,pm,0.563080184959077
1,2,200,20260826,0.0,cons,0.43135791716387034
1,2,200,20260826,0.0,loc,0.1765
1,2,200,20260826,0.0,cons_full,0.4247763974251374
1,2,200,20260826,0.5,obs,0.45672730442483905
