run,method,nALC,source
1,equal_clean,0.2488122247422213,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_metrics.csv
1,oracle_drop,0.23393597450767425,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_drop_rpe1_run1_Core-Set_diff_effect_metrics.csv
2,equal_clean,0.25588670672463126,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_metrics.csv
2,oracle_drop,0.24493446946248648,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_drop_rpe1_run2_Core-Set_diff_effect_metrics.csv
3,equal_clean,0.2497112129953651,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_metrics.csv
3,oracle_drop,0.23051173948102535,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_drop_rpe1_run3_Core-Set_diff_effect_metrics.csv
1,equal_l1,0.24165666862599777,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260831_run1_Core-Set_diff_effect_metrics.csv
1,detected_clean,0.24419430284497073,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_run1_Core-Set_diff_effect_metrics.csv
3,detected_clean,0.22536460663924232,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_run3_Core-Set_diff_effect_metrics.csv
3,equal_l1,0.23130633164857262,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260831_run3_Core-Set_diff_effect_metrics.csv
2,detected_l1,0.23945552019772434,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_corrupt_permute_rpe1_l1_cs20260831_run2_Core-Set_diff_effect_metrics.csv
3,detected_l1,0.22420977553792085,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_corrupt_permute_rpe1_l1_cs20260831_run3_Core-Set_diff_effect_metrics.csv
2,detected_clean,0.25579462294683175,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_run2_Core-Set_diff_effect_metrics.csv
2,equal_l1,0.2436323320033792,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260831_run2_Core-Set_diff_effect_metrics.csv
1,detected_l1,0.24332719808075182,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_detect_rpe1_t0.4512_r1_corrupt_permute_rpe1_l1_cs20260831_run1_Core-Set_diff_effect_metrics.csv
