method,mean,std,min,max
IterPert,0.284455406592267,0.012107396545464506,0.2684755059024121,0.3073434368238878
BADGE,0.2770062702849917,0.012620263908037995,0.2611002735390464,0.2956947792898084
LCMD,0.27636391627772094,0.011119075342954468,0.2653835002384264,0.3054347812884904
ACS-FW,0.2747331968598515,0.015920515614229632,0.2415741430361258,0.2943672378776722
TypiClust,0.2746830378480859,0.012597190080894759,0.2570753615969698,0.2947739886925549
KMeans,0.2746077771054433,0.018682888193753064,0.2518476910323198,0.3123167798212468
Random,0.2619996468725955,0.01386673908329578,0.2366818879619659,0.2809002880058224
Core-Set,0.2512058002023164,0.025696565940323258,0.1931664388130003,0.2883780060395962
BatchBALD,0.2500303316984871,0.01578022850194018,0.2328191355908056,0.2768311623770104
BALD,0.24868120979326952,0.013597908154611838,0.2241170752829082,0.2666388148001626
