method,n_labeled,teacher_mean,teacher_std,teacher_n,local_mean,local_std,local_n,local_values,dev_from_teacher
IterPert,100,0.1154912506893961,0.0127216619346314,10,0.10337834432721134,0.016247716448432294,6,"[0.0828208103775978, 0.1001971736550331, 0.1008186712861061, 0.1229646205902099, 0.0913313254714012, 0.12213746458292]",-0.9521481096121992
IterPert,200,0.2334323684341988,0.0207836694103147,10,0.2074148158232371,0.005374496837836492,6,"[0.2106847912073135, 0.211012527346611, 0.2025725096464157, 0.2093639224767685, 0.1988836973905563, 0.2119714468717575]",-1.251826715356119
IterPert,300,0.2636623357838633,0.0129964506949562,10,0.2530740996201833,0.015313035422865507,6,"[0.2546656429767608, 0.2592928111553192, 0.2342263013124466, 0.239900454878807, 0.2776168286800384, 0.2527425587177276]",-0.8147021376989628
IterPert,400,0.2720983922466731,0.0190962667334995,10,0.27852630615234375,0.01331150985970898,6,"[0.2720759212970733, 0.2766270339488983, 0.2621349096298218, 0.3004156649112701, 0.2866184413433075, 0.2732858657836914]",0.3366057876849055
IterPert,500,0.2817383213080397,0.0153609306947259,10,0.2664109816153844,0.014243228851928155,6,"[0.2615144550800323, 0.2573858797550201, 0.2588995993137359, 0.2773328721523285, 0.2900780737400055, 0.2532550096511841]",-0.9978132183044016
IterPert,600,0.284455406592267,0.0121073965454645,10,0.2908133715391159,0.010347719290909057,6,"[0.3024771213531494, 0.2885570824146271, 0.3012823164463043, 0.2778408527374267, 0.2941631078720093, 0.2805597484111786]",0.525130644145843
Random,100,0.1168239264686835,0.0133044958863157,10,0.1155399791896343,0.01715164419644013,2,"[0.1034119352698326, 0.127668023109436]",-0.09650476726215595
Random,200,0.1737345555304309,0.019363317489497,10,0.20132216066122055,0.003698775815179677,2,"[0.1987067312002182, 0.2039375901222229]",1.424735464145214
Random,300,0.2158836069562855,0.017945789040833,10,0.23930790275335306,0.025793460356894168,2,"[0.2575466334819793, 0.2210691720247268]",1.3052809070567488
Random,400,0.2105253192001845,0.0118115021287547,10,0.2523470744490623,0.00680230115212787,2,"[0.257157027721405, 0.2475371211767196]",3.5407651620418505
Random,500,0.247667496402285,0.013653705530635,10,0.273871511220932,0.01576856902077483,2,"[0.262721449136734, 0.28502157330513]",1.919187048516076
Random,600,0.2619996468725955,0.0138667390832957,10,0.2735843807458877,0.012644665682571617,2,"[0.2825255095958709, 0.2646432518959045]",0.8354331760123402
Core-Set,100,0.1148873283162661,0.01312275260452,10,0.1022249162197113,,1,[0.1022249162197113],-0.9649204308091086
Core-Set,200,0.1860407063831783,0.0246238393556267,10,0.1768321543931961,,1,[0.1768321543931961],-0.3739689760393916
Core-Set,300,0.2128165961786297,0.0219393207296335,10,0.1756918579339981,,1,[0.1756918579339981],-1.6921553179395885
Core-Set,400,0.2365884412361671,0.0290466016480929,10,0.2204615622758865,,1,[0.2204615622758865],-0.5552070825930655
Core-Set,500,0.2512693089947773,0.0248580815819567,10,0.211873397231102,,1,[0.211873397231102],-1.5848331510936433
