n_labeled,mean,std,count,prior
100,0.11649420870860214,0.0063375212033765895,5,rpe1_kernel
200,0.24399003946920214,0.018938774189701617,5,rpe1_kernel
300,0.2764066791527583,0.014157603732582551,5,rpe1_kernel
400,0.27036490102360355,0.013861451909923042,5,rpe1_kernel
500,0.2871318450122152,0.009292802612089653,5,rpe1_kernel
600,0.29041219577600363,0.009137126659836724,6,rpe1_kernel
100,0.11678762090768129,0.007450405232242818,5,ops_A549_kernel
200,0.20695201286581408,0.024941934679672612,5,ops_A549_kernel
300,0.23634576322519915,0.0183128818352222,5,ops_A549_kernel
400,0.25617594583755904,0.023226499214130336,5,ops_A549_kernel
500,0.27671527112748995,0.005607541208182616,5,ops_A549_kernel
600,0.27821120265990473,0.013970234186736588,5,ops_A549_kernel
100,0.1168263408383082,0.010566068203592788,5,pops_kernel
200,0.20034567566249648,0.026357779117032805,5,pops_kernel
300,0.21346145424529847,0.01782108050061746,5,pops_kernel
400,0.2448315637963269,0.009940879903275164,5,pops_kernel
500,0.26025314347297945,0.005934352154668432,5,pops_kernel
600,0.2668785728033195,0.0033412213043927234,5,pops_kernel
100,0.115681915631148,0.009869508669260948,5,esm_kernel
200,0.17747892079862104,0.015700379614630226,5,esm_kernel
300,0.19221276174693444,0.028096995181986207,5,esm_kernel
400,0.2022420567558668,0.015472082360084712,5,esm_kernel
500,0.21563526288346116,0.02069078069934008,5,esm_kernel
600,0.25098393199530794,0.016355031633097393,5,esm_kernel
100,0.11496969147661815,0.012165204411157425,5,biogpt_kernel
200,0.18470876213037926,0.013799676441461914,5,biogpt_kernel
300,0.2227554128227117,0.02068371947256418,5,biogpt_kernel
400,0.2375539309750314,0.00811659224146956,5,biogpt_kernel
500,0.24108298808602022,0.020821964023757716,5,biogpt_kernel
600,0.2531022646158592,0.01997480616155887,5,biogpt_kernel
